username,date,retweets,favorites,label,text,geo,mentions,hashtags,id,permalink
bamphennapha,2019-01-21 01:12,0,0,,อยากเห็นทวิตนี้ติดอันดับจัง555555 #จรพ,,,#,1087050360579997696,https://twitter.com/bamphennapha/status/1087050360579997696
anitatina_,2019-01-21 01:10,0,0,,เออ​แอบสงสัย​ นางไปอยู่ปารีสนางทำอะไร​ ที่นางเรอๆออกมาเนี่ยนางได้ออกจากกะลาแลนด์มาเช็คโปรไฟล์ชาวบ้านมั้ยลูก​ #จรพ,,,#,1087049702162350080,https://twitter.com/anitatina_/status/1087049702162350080
jahsarch,2019-01-21 01:05,0,0,,รุนเเรงสุดๆไปเลยจ้า #จรพ,,,#,1087048603489624064,https://twitter.com/jahsarch/status/1087048603489624064
mindsiyathorn,2019-01-21 01:05,1,0,,คำว่าabuseพี่เค้าคือ... แง555555 เอาฮาเฉย #จรพ,,,#,1087048458387607552,https://twitter.com/mindsiyathorn/status/1087048458387607552
tomyself___,2019-01-21 01:03,0,0,,มีแฮชเป็นของตัวเองด้วยอะ #จรพ ยอม...,,,#,1087048028265934850,https://twitter.com/tomyself___/status/1087048028265934850
abcarddd,2019-01-21 01:03,10,0,,บุคคลที่มีทัศนคติติดลบ2019 #จรพ,,,#,1087047859994677248,https://twitter.com/abcarddd/status/1087047859994677248
pxgnby,2019-01-21 01:01,0,0,,เอาจริงหน้าตาก็ค่อนข้างดีแต่ทำไมนิสัยแบบนี้อ่ะค่ะ?? #จรพ,,,#,1087047488110874624,https://twitter.com/pxgnby/status/1087047488110874624
nawaideal,2019-01-21 01:00,7,0,,รวยแต่เป็นของเล่นของเด็กซค.อ่ะเนอะ #จรพ,,,#,1087047258946719745,https://twitter.com/nawaideal/status/1087047258946719745
ployleila,2019-01-21 01:00,10,1,,ท้าคนไปตบถึง paris เหยียดอีกว่าไม่มีปัญญาไปเรียนต่างประเทศเหมือนเค้า ในไลฟ์มีคือแบบประมาณ 50 ครั้ง เหยียดอีก 300 ครั้ง #จรพ,,,#,1087047256241369089,https://twitter.com/ployleila/status/1087047256241369089
anitatina_,2019-01-21 01:00,16,1,,ด่าห้องฝรั่งเศสว่าเรียนอะไรไร้สาระ​แต่ตอนนี้หนูอยู่ปารีส ตอนหนูเรียนห้องจีนหนูก็ติด0ไม่ใช่เหรอลูก​ เหล่าซือแซะว่าไม่ทำอะไรวันแต่แรดไม่ใช่เหรอลูก​ #จรพ,,,#,1087047247135629313,https://twitter.com/anitatina_/status/1087047247135629313
jspg_kn,2019-01-21 00:59,9,0,,ค่าทำเล็บเท้าถูกกว่าเงินเดือนพวกแกอีก แต่ไม่ได้เหยียดนะคะ จริงๆ ไม่รู้จักคำว่าปลวกค่ะแถวบ้านแพทไม่ใช้คำแบบนั้น แต่ใช้คำว่าอีเหี้ยอีดอก บ้านอยู่แถวไหนอะคะ #จรพ,,,#,1087047087064137728,https://twitter.com/jspg_kn/status/1087047087064137728
aaomtnp,2019-01-21 00:59,0,0,,#จรพ ต้องติดเทรนเเล้วป่ะ,,,#,1087046966150717441,https://twitter.com/aaomtnp/status/1087046966150717441
GorbuaR,2019-01-21 00:58,6,1,,แล้ววันที่พี่เจริญก้าวหน้ากว่านี้ สิ่งที่พี่ทำวันนี้มันก็จะติดตัวพี่ไปด้วย อย่าคิดไรสั้นๆตัดปหด้วยคำว่าไม่แคร์ คนโตแล้วเค้ามองอนาคต มองไกลๆหน่อย เสียดายความสามารถ มารยาทในการพูดไม่มี #จรพ,,,#,1087046760772493312,https://twitter.com/GorbuaR/status/1087046760772493312
