username,date,retweets,favorites,label,text,geo,mentions,hashtags,id,permalink
man_srayut,2019-02-24 14:21,0,0,,#ป๊อปปองกูล ถถถถถถ ไอ้หล่อ พ่อค pic.twitter.com/jfDdg4viZo,,,#,1099570016221970432,https://twitter.com/man_srayut/status/1099570016221970432
galaxchan,2019-02-24 14:21,0,0,,พี่ทำได้ไงวะ กูอึ้งในอึ้ง #ป๊อปปองกูล,,,#,1099570007506182145,https://twitter.com/galaxchan/status/1099570007506182145
Mon24393208,2019-02-24 14:21,0,1,,"ส่องคอมเมนต์เดือด ป๊อบ"" รับ ""คบซ้อน"" ชาวเน็ตให้กำลังใจ ""โบว์"" โดนเท #เก่งมากเจ้า #ป๊อบปองกูล #ป๊อปปองกูล #ข่าวดารา #คบซ้อน #โดนเท #แต่งงาน http://www. socialhot24.com/news87933.html ?d=24022019&f=69637 …""",,,# # # # # # #,1099569996861063168,https://twitter.com/Mon24393208/status/1099569996861063168
Namtan216,2019-02-24 14:21,0,0,,บ้างคนแม่งก็เอาคนไม่เกี่ยวมาด่าสนุกเลย เอารูปบ้านอื่นมาทวีตกันสนุกเลย ใช่นิเพราะไม่ใช่ครอบครัวตัวเองนิ สมองไม่มีคิดเหรอ ตาไม่ดีเหรอถึงแยกไม่ออกคนไหนป๊อป คนไหนกอล์ฟ #ป๊อปปองกูล,,,#,1099569976476717057,https://twitter.com/Namtan216/status/1099569976476717057
mu6instinct,2019-02-24 14:21,0,0,,ฝากทำแบบสอบถาม ป. โท หน่อยน้าาาาา ง่ายๆ มาม่าสุกก็เสร็จละ ไม่ได้ทำบัญชีก็ทำได้ เชื่อเรา https:// goo.gl/forms/C4QXt4bX CV9RAXMp1 … . . #ป๊อปปองกูล ไม่เกี่ยวแต่อยากให้ช่วย 5555555,,,#,1099569960391565312,https://twitter.com/mu6instinct/status/1099569960391565312
bprcchat,2019-02-24 14:21,0,0,,อ.ปลารู้เรื่อง บ.โบว์ แต่บ.โบว์ไม่รู้เรื่อง อ.ปลา มันน่าเจ็บใจตรงที่อีกคนหนึ่งตั้งใจคบ อีกคนเหมือนหลอกให้คบ #ป๊อปปองกูล,,,#,1099569944755286016,https://twitter.com/bprcchat/status/1099569944755286016
Jindaphat1,2019-02-24 14:21,1,1,,โดนด่าเละ ป๊อบ ต้องก้มหน้ารับกรรม #ป๊อบปองกูล #ป๊อปปองกูล #ข่าววันนี้ #ข่าวดารา #ข่าวจริง #ป๊อปโป๊ะแตก http://www. darachilli.com/article/detail /87929?f=73558 …,,,# # # # # #,1099569913239285760,https://twitter.com/Jindaphat1/status/1099569913239285760
_poottita,2019-02-24 14:21,0,0,,เพิ่มเติม “ป๊อบ ปองกูล” ผู้ทำให้คนทั้งโลกตกอยู่ในอาการ “งงในงง” คบซ้อนนานกว่าสิบปีแบบไม่มีความลับรั่วไหลสู่หูคนแรกที่คบกันมาก่อน ทำได้อย่างไร “งงในงง” “มึนในมึน” จริงๆ อ่านต่อได้ที่ https://www. facebook.com/KonMeeDee/phot os/a.833126960358747/836473326690777/?type=3&theater … … #ป๊อปปองกูล #คบซ้อน pic.twitter.com/chXWENYH0U,,,# #,1099569905177788417,https://twitter.com/_poottita/status/1099569905177788417
bts2403,2019-02-24 14:21,0,0,,พ่อมึง! ไอเหี้ยป๊อป เกลียดคนอย่ามึงชิบหาย ใจมึงทำด้วยไรวะเย็ดแม่ มึงเป็นคนแบบไหนวะ ที่ปล่อยให้เจ้าสาวรับหน้าในงานแต่งคนเดียวแบบนั้น เกินไปป่าว นอกใจว่าเหี้ยละนะ ใจดำ ไม่นึกถึงภรรยาเหี้ยกว่าอีก #ป๊อปปองกูล,,,#,1099569898689200128,https://twitter.com/bts2403/status/1099569898689200128
janji627,2019-02-24 14:21,0,0,,ยากจะเชื่อจริงๆนะว่าผญสองคนไม่รับรู้ถึงการมีตัวตนของอีกฝ่าย แต่คุณผชรู้มั้ยว่าคุณน่ะใจร้ายมากเลยนะ ทำร้ายครส.ผญสองคนในเวลาเดียวกันได้จนยับเยินเลย สงสารก็แต่ผญอ่ะเน้อ #ป๊อปปองกูล,,,#,1099569894675210240,https://twitter.com/janji627/status/1099569894675210240
aorwiki,2019-02-24 14:21,0,0,,เสียเวลาไป 10 ปีจริงๆ นั่นแหละ #ป๊อปปองกูล,,,#,1099569889189097473,https://twitter.com/aorwiki/status/1099569889189097473
pepan546,2019-02-24 14:21,0,0,,"งงใจคนที่บอก ไม่หล่อยังเหี้ยอีก"" คือจะบอกว่า ต้องหล่อถึงเหี้ยได้เหรอ #ป๊อปปองกูล""",,,#,1099569875771482113,https://twitter.com/pepan546/status/1099569875771482113
Joinusfor09,2019-02-24 14:21,0,0,,#ป๊อปปองกูล พูดถึงเรื่องพี่ป๊อปแกคงไม่อายนะ เพราะถ้าป๊อปอายจะเป็นกะลาสี ไม่ใช่นักร้อง,,,#,1099569874400030720,https://twitter.com/Joinusfor09/status/1099569874400030720
ThaiActorQuote,2019-02-24 14:20,0,0,,คุณ #ป๊อบปองกูล เป็นศิลปินที่เราโควตคำพูด คำสัมภาษณ์และข้อความในทวิตเตอร์มาลงบ่อยมาก เพราะชอบในวิธีคิดและมุมมองของเขา ...ขอเป็นกำลังใจให้กับทุกฝ่ายนะคะ : #ThaiActorQuote #ป๊อปปองกูล pic.twitter.com/6UpTVMCIX4,,,# #ThaiActorQuote #,1099569853235490816,https://twitter.com/ThaiActorQuote/status/1099569853235490816
chanakan_ploy,2019-02-24 14:20,0,0,,ตอนโจรขึ้นบ้าน คุณ บอกว่าไม่รู้ว่าผู้หญิงในบ้านคือใคร เพราะไม่เคยเห็นหน้า อ่ะ แล้ว คุณ ได้ไปบ้านช่วงขโมยขึ้นมั้ย เป็นเราก็ต้องไปดูนะ ถ้าไปต้องเจออฟนคนแรกอ่ะ / หรือยังไง #ป๊อปปองกูล,,,#,1099569852245696512,https://twitter.com/chanakan_ploy/status/1099569852245696512
ppxtxxxxx,2019-02-24 14:20,1,1,,งงนิดหน่อยแต่ไม่เข้าใจมากๆ #ป๊อปปองกูล,,,#,1099569851163537408,https://twitter.com/ppxtxxxxx/status/1099569851163537408
Ma_YamMe,2019-02-24 14:20,1,1,,แมทส่งไม้ต่อ !!!! #ป๊อปปองกูล,,,#,1099569820696162304,https://twitter.com/Ma_YamMe/status/1099569820696162304
man_srayut,2019-02-24 14:20,0,0,,ถถถถถถ ไอ้หล่อ พ่อคุณ #ป๊อปปองกูล pic.twitter.com/Jr1UZahCH4,,,#,1099569817772683266,https://twitter.com/man_srayut/status/1099569817772683266
llrinrall,2019-02-24 14:20,1,0,,บางคนก็ทวิตเอายอดรีอ่ะ จริงๆเรื่องจริงปล่าวก็ไม่รู้ เสือกแต่พอดีไม่ต้องอินเยอะ #ป๊อปปองกูล,,,#,1099569806972379136,https://twitter.com/llrinrall/status/1099569806972379136
