username,label,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
ctrl_alt01,0,2019-01-21 02:43,0,0,ส่วนอกซ โง่ ๆ ช่วยทำให้เรืองชื่นใจได้มั้ย https:// twitter.com/hhhh555553/sta tus/1087072651246329856 …,,,,1087073042948341760,https://twitter.com/ctrl_alt01/status/1087073042948341760
ddreammiie,0,2019-01-21 02:42,0,0,แกล้ง โง่ กับ ไม่ยอมรับความจริง แม้ง หน้าด้านพอกันเลย,,,,1087072969090772993,https://twitter.com/ddreammiie/status/1087072969090772993
lookchin_lc,0,2019-01-21 02:42,0,0,แบกขนาดนิ้แร้วแพ้ก้ดูเพื่อนร่วมทีม.. พุดคำเดียวเรย โง่ pic.twitter.com/X33LyItlFO,,,,1087072939113992192,https://twitter.com/lookchin_lc/status/1087072939113992192
mintkej,0,2019-01-21 02:42,0,0,ผู้แพ้คือไอตุนหน้า โง่ pic.twitter.com/5tr8pvLc2l,,,,1087072929668509696,https://twitter.com/mintkej/status/1087072929668509696
Tzplz,0,2019-01-21 02:42,0,0,ชีวิตช่วงนี้ ก็จะนั่ง โง่ ๆ คุยกับตัวเองสะเยอะมากหน่อย เวลาเหลือๆปวดกะบาล ก็นอนดู Netflix คลาดเคลียด _____ รายรับไม่มี รายจ่ายแมร่งเยอะ #คนบ้า2019,,,#,1087072879781601280,https://twitter.com/Tzplz/status/1087072879781601280
norneel,0,2019-01-21 02:41,0,0,ก็มองตั้งนานว่าผชที่ตรงข้ามเจโน่คือใคร ชั้น โง่ หรือ โง่ แม่งเอ้ยย ก็เจโน่ไง มันเป็นกระจกว้อยววว55555555 pic.twitter.com/nKl3TxsX9K,,,,1087072734113230848,https://twitter.com/norneel/status/1087072734113230848
hiruna454,0,2019-01-21 02:41,0,2,ได้เหมือนกุเลย555555555555555555กุแนะนำว่าถ้าอ่านซับอิ้งให้ดูซีรี่ย์ง่ายๆก่อนอ่ะมึง คือถ้าอย่างเดดโน๊ตกุก็ไม่อ่านอิ้ง กุ โง่ เกินกว่าจะเข้าใจ กุดูรายการวาไรตี้อ่ะ ซับอิ้ง อันนี้ง่ายสุด ได้ศัพท์ยากตอนละไม่กี่คำมาให้ค้นหา,,,,1087072700353236992,https://twitter.com/hiruna454/status/1087072700353236992
Muenmat1,0,2019-01-21 02:41,0,0,ถึงกูจะต้องอยู่คนเดียวแล้วเหงา ก็ยังดีกว่าควักลูกตา กรีดเนื้อตัวเองเพื่อฝืนทนกับคนเห็นแก่ตัวอย่างมึง ตอนนี้แผลที่กูเคยกรีดเนื้อมันหายดีละ กูคงจะ โง่ กลับไปล่ะมั้ง รักมันนะไอ้เหี้ยนี่อ่ะ แต่กูโครตเกลียดข้อเสียละกูก็รับไม่ได้อ่ะ กูไม่ทนสัส หาผัวใหม่ ใหญ่ๆยาวๆ,,,,1087072530601467904,https://twitter.com/Muenmat1/status/1087072530601467904
keepxten,0,2019-01-21 02:40,0,0,- ไม่หวงของจนรู้สึกตัวเองเป็นคน โง่ (จริงๆโดนด่าว่า โง่ บ่อยจนรู้สึกว่า โง่ จริง) เป็นคนที่มีอะไรก็ให้ได้หมด เสียเปรียบคนอื่นตลอด แต่พอไม่ให้ก็รู้สึกผิด,,,,1087072308282372096,https://twitter.com/keepxten/status/1087072308282372096
ccnyjrc,0,2019-01-21 02:38,0,0,เสียไปกับการสอบ โง่ ๆ5555 https:// twitter.com/sfkkfs_/status /1086795622739406848 …,,,,1087071993143283713,https://twitter.com/ccnyjrc/status/1087071993143283713
spsrj_,0,2019-01-21 02:38,0,0,เลิกเอาความรัก โง่ ๆมาบังตาได้แล้ว,,,,1087071934704082944,https://twitter.com/spsrj_/status/1087071934704082944
napa1991,0,2019-01-21 02:37,0,0,แกล้ง โง่ หรือ โง่ จริงหะยุงงงงงงง,,,,1087071515026219008,https://twitter.com/napa1991/status/1087071515026219008
helloftheyear,4,2019-01-21 02:35,0,0,สมองก็น่าจะมีนะ แต่ไม่รู้จักเอามาใช้ อี โง่,,,,1087071049924005888,https://twitter.com/helloftheyear/status/1087071049924005888
Siriwong5668,0,2019-01-21 02:32,0,0,โง่,,,,1087070433508126720,https://twitter.com/Siriwong5668/status/1087070433508126720
seekongfah,0,2019-01-21 02:32,0,0,ตีสอง โง่ ๆ,,,,1087070378109820928,https://twitter.com/seekongfah/status/1087070378109820928
lilskitsune,0,2019-01-21 02:32,0,0,ผ้าปูที่นอนเป็นรอยหมดเลย 555555555555555555 แม่ทุบแน่ ขอเวลาทำลายหลักฐาน ใครหนอ โง่ จัง ฉันเองกรีดบนเตียง,,,,1087070344760811520,https://twitter.com/lilskitsune/status/1087070344760811520
_A0603,0,2019-01-21 02:32,0,0,ตลกอ่ะ ว่างหรอวะมาทำอะไรแบบนี้? คนมันจะ โง่ ก็ปล่อยเขา โง่ เดี๋ยวก็รู้เองอะไรเป็นอะไร เวลามันพิสูจน์ทุกอย่างเองอ่ะ ถ้าว่างมากมาทำงานแทนกูหน่อยเห๊อะ กูอยากว่างบ้าง กูง๊วง,,,,1087070304864628736,https://twitter.com/_A0603/status/1087070304864628736
monamonmai,4,2019-01-21 02:31,2,0,ขั้นกว่าของโงเหมือนนายกคือ โง่ เหมือนอิป้อม https:// twitter.com/kabupuxzsg/sta tus/1086536859964997632 …,,,,1087070199004651520,https://twitter.com/monamonmai/status/1087070199004651520
danitokki,0,2019-01-21 02:31,0,0,บินไปกอดเพื่อน กลับมาเป็นควายเอง โง่ ชิบหาย,,,,1087070039360950272,https://twitter.com/danitokki/status/1087070039360950272
WillPPK,0,2019-01-21 02:31,0,0,พอเราเริ่มโตขึ้น เราใจร้อนขึ้น เราให้โอกาสคนน้อยลง แล้วเราก็ลืมความเป็นเด็กไป....,,,,1087070012500672512,https://twitter.com/WillPPK/status/1087070012500672512
fonhae,0,2019-01-21 02:29,0,0,โถ่ะเอ้ย เวลาอ่านฟิคละเศร้าทีไรดาวน์ตลอดเลยน้ำฝน,,,,1087069601291108352,https://twitter.com/fonhae/status/1087069601291108352
Anuva_z,0,2019-01-21 02:27,0,0,พน.มึงเจอชีวะนะอี โง่ 55555555,,,,1087069063447072768,https://twitter.com/Anuva_z/status/1087069063447072768
_buttter,0,2019-01-21 02:26,0,0,เพิ่งรู้ว่าสาย 6 เบอร์ 12 ก็ขาดได้ แล้ว damage แรงด้วยนะเธอ555555555555555โง่อะะ โง่ ไม่ไหว๊ pic.twitter.com/xBjYVJ542N,,,,1087068758819000321,https://twitter.com/_buttter/status/1087068758819000321
tangmo333jinjin,0,2019-01-21 02:25,0,0,รู้สึก โง่,,,,1087068703076712448,https://twitter.com/tangmo333jinjin/status/1087068703076712448
Thepangkyung,0,2019-01-21 02:25,0,0,1 เรื่องที่ผมโกหกคุณ คือ ผมแกล้ง โง่ ในทุกเรื่องที่คุณพยายามปิด,,,,1087068559342166017,https://twitter.com/Thepangkyung/status/1087068559342166017
Anfield610,0,2019-01-21 02:25,0,0,ขอบคุณที่ย้ำจนเข้าใจ เปิดตาให้รู้ตัวเอง โง่ เขลา,,,,1087068524005093376,https://twitter.com/Anfield610/status/1087068524005093376
viwaaaaaaaaaaaa,0,2019-01-21 02:22,0,0,แต่คะเเนนฟิกุก้คือ0ไปเรยอิเวน เป็น โง่ มาก,,,,1087067854287958018,https://twitter.com/viwaaaaaaaaaaaa/status/1087067854287958018
RM_Temjai,4,2019-01-21 02:22,0,0,ถ้าเกิดอะไรขึ้นมา จะรับรู้ไว้เลยว่าคุณมันก็แค่ผู้ใหญ่แย่ๆคนนึง ที่ผิดคำพูด แต่ก็ยอมรับว่า โง่ เองที่เชื่อใจคุณ หวังว่าจะไม่มีอะไรเกิดขึ้นนะคะ,,,,1087067782825488384,https://twitter.com/RM_Temjai/status/1087067782825488384
