username,date,retweets,favorites,label,text,geo,mentions,hashtags,id,permalink
poszze,2019-02-17 12:00,25,12,,นักข่าวยังโดนหาว่าเป็น ควาย แดง คุณจอมขวัญไม่ได้เสนอข่าวด้านเดียวครับ แต่เขาเสนอข่าวที่เป็นข้อเท็จจริง อันไหนเป็นข้อถกเถียงก็ถามตอบอย่างตรงๆ มีแค่คนที่ปิดหูปิดตาด่า ควาย แดงเท่านั้นแหละครับที่จะไม่มีวันได้ออกจากกะลา #ไทยรัฐเลือกตั้ง62 #ไทยรัฐดีเบต pic.twitter.com/plNbbfhmmy,,,# #,1096997899689312256,https://twitter.com/poszze/status/1096997899689312256
pimmynaka_,2019-02-17 11:35,2520,122,,จะขายบัตรอัพยังเลือกโพอีก อี ควาย ความประสาทที่ไม่รู้จักจบจักสิ้น #PARKJIHOONinBANGKOK pic.twitter.com/nAeLMraGBD,,,#PARKJIHOONinBANGKOK,1096991613421682689,https://twitter.com/pimmynaka_/status/1096991613421682689
Ryoma_pangpound,2019-02-16 22:03,180,134,,กูว่าพี่ชายกูไม่ต้องเป็นนักร้องแล้วแหละ เปิดสำนักเหอะ จังหว่ะนี้ ควาย ธนู ลูกกรอก หุ่นขึ้ผึ้ง ต้องมาแทนไมค์ที่จับแล้ว รับรองลูกศิษย์ล้นสำนักจนเข้าทรงตะคริวกิน55555555555,,,,1096787149267955714,https://twitter.com/Ryoma_pangpound/status/1096787149267955714
9500MJ,2019-02-16 21:19,665,47,4,บล๊อกนะคะ ไม่ชอบคุยกับ ควาย pic.twitter.com/L161HdIQEx,,,,1096776186619785217,https://twitter.com/9500MJ/status/1096776186619785217
tuk10052530,2019-02-16 20:42,28,19,,รอยยิ้มสดใส.. อารายเบอร์นี้​ ลุคนี้หล่อมากกก​ หล่อวัวตาย ควาย ล้ม Cr.AmyExxon #popezaap pic.twitter.com/Mo7QDUtq9b,,,#popezaap,1096766814866919424,https://twitter.com/tuk10052530/status/1096766814866919424
waewwithme,2019-02-16 19:28,111,44,,เฟลตันช่วงนี้คือหล่อจริง วัวตาย ควาย ล้มอ่ะ จริงๆไม่ว่าจะตอนไหนก็อยากเป็นเมียยิ่งตอนนี้คือยิ่งอยากเป็นเมีย อยากดูแลอยากคอยเดินแบกไม้กอล์ฟให้ pic.twitter.com/MeTCK8x6rg,,,,1096748201296576512,https://twitter.com/waewwithme/status/1096748201296576512
babymeaw_meaw,2019-02-16 19:05,934,344,,ขอรับโดเนทรูปพี่เป๊กหล่อๆเอาหล่อแบบวัวตาย ควาย ล้ม ขอบคุณล่วงหน้า พรุ่งนี้กุไม่มาไม่ต้องคิดถึง #เป๊กผลิตโชค,,,#,1096742264754204672,https://twitter.com/babymeaw_meaw/status/1096742264754204672
fatkid99_,2019-02-16 17:06,261,133,,Suku Suku บุฟเฟต์อาหารญี่ปุ่น (อยู่แถวอารีย์-สะพาน ควาย ) อร่อยยมากกก ยกให้เป็นร้านที่ชอบที่สุดละ เรากินแบบ บุฟเฟ่ต์ 799 (จริงๆมีหลายราคา a la cart ก็มีนะแต่บุฟคุ้มกว่า) เราว่าอร่อยทุกอย่าง ที่เป็นซูชิก็ข้าวคำไม่ใหญ่เกินทำให้สั่งได้หลากหลาย @aroii #อร่อยบอกต่อ #อร่อยไปแดก pic.twitter.com/Kvpml8tRJh,,@aroii,# #,1096712506909777920,https://twitter.com/fatkid99_/status/1096712506909777920
yoo_r_love0128,2019-02-16 14:06,2728,108,,ท้อมากอี ควาย pic.twitter.com/W7VvzcfQFu,,,,1096667088477798400,https://twitter.com/yoo_r_love0128/status/1096667088477798400
thecuriousdan,2019-02-16 13:34,9953,786,,นอติลุสควรทำทูน่าสเปรดขายแยกต่างหาก แล้วทำกระปุกใหญ่ๆด้วย อร่อยแต่เสือกกระปุกเล็กนักอี ควาย pic.twitter.com/K0oGyxp4aU,,,,1096658991151669248,https://twitter.com/thecuriousdan/status/1096658991151669248
feelingdownn,2019-02-15 22:57,8521,3107,,คำเตือน : อย่าไปตามง้อตามยื้อกับคนที่หมดใจ พอเหอะ กลับมารักตัวเอง กลับมาดูแลหัวใจตัวเองให้มันเข้าที่เข้าทาง พร้อมเมื่อไหร่ก็ค่อยเริ่มใหม่ ชีวิตไม่ได้จบอยู่แค่คนๆเดียว อย่า ควาย .,,,,1096438462612353024,https://twitter.com/feelingdownn/status/1096438462612353024
qxxxxm,2019-02-15 21:46,1601,330,,จากการที่เห็นบ๊อบบี้ ดงฮยอก ทีมงานYG PD พี่ๆในYG ต่างๆมาให้กำลังใจบยองกน ก็ค้นพบว่า ทุกคนเอ็นดูบยองกนมากๆ ยกเว้นอีหยาง อี ควาย 55555 pic.twitter.com/ujd0Xq7Z8w,,,,1096420414320869376,https://twitter.com/qxxxxm/status/1096420414320869376
TheSmilingHut,2019-02-15 14:06,376,108,,"ถ้าอยากให้ #การเมืองไทย ก้าวหน้า มั่นคง -ต้องเลิกแบ่งฝั่งเป็น 2 ขั้ว (ดำ/ขาว, ดี/เลว) แล้วต้อนพวกที่คิดไม่เหมือนไปอยู่ขั้วตรงข้าม -เลิกเรียกคนที่คิดไม่เหมือนว่า  ควาย แดง"" ""สลิ่ม"" ""ขี้ข้าทักษิณ"" ""ขี้ข้าเผด็จการ"" -จุดยืนในการเมืองเป็นสเปกตรัม ไม่ใช่มีแค่สองขั้ว #เลือกตั้ง62 pic.twitter.com/FYPte5POhW""",,,# #,1096304767620472832,https://twitter.com/TheSmilingHut/status/1096304767620472832
yeolxniel,2019-02-13 22:07,435,187,,ก็คือมีแต่คนไทย 555555555555. อี ควาย เนี่ยมึลทำเค้าเลิ่กลั่กทั้งวงการ เคป้อป อีสัสนาโร้ก #Dispatch pic.twitter.com/zQbxkJkwfP,,,#Dispatch,1095700906568441861,https://twitter.com/yeolxniel/status/1095700906568441861
BiscuitBeepBeep,2019-02-13 20:44,895,63,,ใครบอกเก่งแต่เรื่องเรียนวะ เรื่องเรียนกูก็ไม่เก่งไอ ควาย 5555555555,,,,1095680136765030400,https://twitter.com/BiscuitBeepBeep/status/1095680136765030400
euneun13st,2019-02-13 18:35,39347,4140,,แม่ด่าเรื่องไม่พับผ้าห่มทุกวันเลยอะ ด่าตั้งแต่สิบยี่สิบปีที่แล้วตอนนี้ก็ยังด่าทุกวัน จนชั้นโตเป็น ควาย แล้ว อยากถามแม่ไม่เบื่อหรอ ก้เหมือนเข้าตัวเองตลอด ว่าทำไมกุไม่พับวะแค่ผ้าห่มผืนเดียวๆๆๆๆ,,,,1095647574587887619,https://twitter.com/euneun13st/status/1095647574587887619
deankangdylan,2019-02-13 08:12,1663,591,,ควาย น้อยหน้าแมว pic.twitter.com/wd6qByVQKU,,,,1095490988003315712,https://twitter.com/deankangdylan/status/1095490988003315712
______wiwiz,2019-02-12 18:00,613,60,,เผื่อจะลืมไปนะมินฮยอนเดบิวต์ในฐานะลีคโวคอลกับค่ายเพลดิสและวงนิวอีสท์ส่วนวนว. คือวงชั่วคราวอี ควาย งงไรชนะปด101 ก้ไปร่วมวนว. ไปเพื่อวงพอวนว.วงหมดสัญญาก้กลับมาอยู่กับนิงอีสท์ไง มึงงงไรอ่ะ,,,,1095276341090349056,https://twitter.com/______wiwiz/status/1095276341090349056
PureyesS,2019-02-11 21:01,52404,7394,,แน่นอนว่าเราอยากได้คนดีมาบริหารประเทศ พอฟังดีเบทแล้ว เราแยกคนดีกับคนไม่ดีไม่ได้ก็จริง แต่เราแยกคนกับ ควาย ได้,,,,1094959682936987648,https://twitter.com/PureyesS/status/1094959682936987648
pear393,2019-02-11 18:00,19,17,,ไปฝึกงานแล้วได้กลิ่นน้ำหอมของพี่ที่ฝึกงาน คือหอมมากหอมหวานสดชื่น หอมแบบทั้งวัน เดินผ่านหรือนั่งข้างหลังก็ได้กลิ่นนี้ จนนนถามพี่เขาว่าใช้น้ำหอมอะไร ฉันอินต้องไปตำมา กลิ่นแบบหอมวัวตาย ควาย ล้ม ไม่ฉุน และติดทน เหมาะกับอากาศร้อนด้วย ช่วงนี้ใช้ทุกวันติดมาก #ไว้รีวิวห้ามขายของโว๊ยย pic.twitter.com/WAkOVIrDUA,,,#,1094914107591950336,https://twitter.com/pear393/status/1094914107591950336
sarr141,2019-02-17 11:01,2,4,,ชอบเม้นนี้เว่อออออ อยู่ในโคลนกับปลัก ควาย ต่อไปปปปปปป #ฟ้ารักพ่อเพราะนโยบายของพ่อ #ฟ้ารักพ่อ pic.twitter.com/fhxwqJRNbA,,,# #,1096982831119486977,https://twitter.com/sarr141/status/1096982831119486977
_kqguk,2019-02-16 21:23,263,99,,มึงอาจจะไม่ใช่แค่คนประสาทแดกเพียงคนเดียวในชีวิตใครซักคน บางคนเค้าเจอคนแบบมึงวันละกี่รอบมึงรู้บ้างมั้ย อี ควาย ปวดหัว,,,,1096777034116694016,https://twitter.com/_kqguk/status/1096777034116694016
m_obtrakoon,2019-02-16 20:58,10,34,,ดิฉัน.. วิ่ง ควาย 2 ชั่วโมงในไบเทค ขอบคุณสำหรับของที่ระลึกทุกชิ้นค่าาาา #namnuengbnk48 pic.twitter.com/FyHsGi20W6,,,#namnuengbnk48,1096770789532098562,https://twitter.com/m_obtrakoon/status/1096770789532098562
jralphxjaehyunx,2019-02-16 19:07,76,9,,เห็นคุณกับเขารักกัน ผมก็ดีใจด้วยนะ . . . . . . . . . . . . . . . . . . ไอ้ ควาย ซะที่ไหนล่ะ,,,,1096742751444492288,https://twitter.com/jralphxjaehyunx/status/1096742751444492288
PBFC11,2019-02-16 18:16,25,70,,หล่อวัวตาย ควาย ล้มพ่อการ์ตูนตาหวานของเจ้ (เจ้สะดวกแบบนี้) #ภณบัว #บัวภณ Cr.ig.pon_nawaschofficial pic.twitter.com/1oS9p9aR4N,,,# #,1096729937866706944,https://twitter.com/PBFC11/status/1096729937866706944
khaitomnomtoom,2019-02-16 13:15,1285,180,,อี ควาย 5555555555 มุมนี้ชัดกว่าๆ pic.twitter.com/zM2tViBPtw,,,,1096654349340573696,https://twitter.com/khaitomnomtoom/status/1096654349340573696
KanjanaExofan1,2019-02-16 00:50,98,41,,ขึ้นเทรนทวิตได้ด้วยความหล่อล้วนๆอิชห.หล่อมากๆๆๆๆหล่อวัวตาย ควาย ล้มวัวคลายในที่นี้ไม่ใช่อะไรกูนี้แหละค่ะ #MINHYUN pic.twitter.com/RU1rUC6mVA,,,#MINHYUN,1096466814119243776,https://twitter.com/KanjanaExofan1/status/1096466814119243776
Jisooya76678072,2019-02-14 23:13,32,47,,วัวตาย ควาย ล้มก็หยุดความสวยพี่ไม่ได้ สวยจิงจังมากกกกกกก #JISOO pic.twitter.com/9uBpBWgb3u,,,#JISOO,1096079981396910081,https://twitter.com/Jisooya76678072/status/1096079981396910081
Gugujang_,2019-02-14 18:31,1111,219,,ลูกเค้าคงปลอดภัยแล้วค่ะเพราะแม่ไม่น่าใช่วัว น่าจา ควาย,,,,1096008918269026304,https://twitter.com/Gugujang_/status/1096008918269026304
nareeratt_b,2019-02-14 18:21,748,628,,พี่คนนี้เค้าเรียนคณะอะไรนะ หล่อน่ารักแบบวัวตาย ควาย ล้มมากกกกกกกกกกกกกกกกกกกกกกกก...กกกก pic.twitter.com/M6OedrAKYv,,,,1096006406031855616,https://twitter.com/nareeratt_b/status/1096006406031855616
yasaylee,2019-02-13 23:53,13765,1585,4,มึงไม่อายหรอที่ไปเมนชั่นรัวๆในทวีตของอีดิสแพทอะ อี ควาย มีแต่ภาษาไทย คนเกาหลีจะคิดไงเอ่ย ดิสแพทไม่ใช่สำนักข่าวที่ปล่อยข่าวเดทอย่างเดียวป้ะ มันรายงานข่าวสารอย่างอื่นด้วย มารยาทอ่ะ,,,,1095727670854180864,https://twitter.com/yasaylee/status/1095727670854180864
nari_lmh,2019-02-13 22:35,102,52,,หลังจากที่เรางมอยู่นาน เนื่องจากดาอึมคาเฟ่เรา ไม่เห็นอัพเดตตารางงาน วันนี้ จะมาแชร์วิธีแก้ค่ะ!!! ง่ายมากๆ คือ ไปที่ตั้งค่าของโทรศัพท์ แล้วตั้งตรงภาษาเลื่อนลงข้างล่างไปตรงปฏิทิน เปลี่ยนจาก พศ > คศ แค่นี้ก็ใช้ได้แล้วค่ะ ง่ายมาก ใครไม่เห็นตารางงานทำตามเน้ค่า //กุ ควาย มาตั้งนาน!!!! pic.twitter.com/NUiPXdzQjx,,,,1095708064634662912,https://twitter.com/nari_lmh/status/1095708064634662912
pymqw,2019-02-13 19:46,27,15,,เอาหญ้ากี่ไร่เธอบอกมา ฉันจะกินให้ตัวเป็น ควาย เลย #junhwan #จุนฮวาน pic.twitter.com/B2zMnhA8Av,,,#junhwan #,1095665489416572928,https://twitter.com/pymqw/status/1095665489416572928
yeolxniel,2019-02-13 18:38,126,68,,สภาพกูตอนนี้เลยอี ควาย เอ้ยกูไม่เคยตื่นเต้นวาเลนไทน์มากี่ปีแล้วจนมาพรุ่งนี้เนี่ยอีดอก #Dispatch pic.twitter.com/mFoRctR8T5,,,#Dispatch,1095648499813670912,https://twitter.com/yeolxniel/status/1095648499813670912
