username,date,retweets,favorites,label,text,geo,mentions,hashtags,id,permalink
prempridas,2019-02-26 01:24,0,0,,คนส่วนใหญ่ของประเทศเป็น ตลาดล่าง แว๊น สก๊อย เยอะมาก เวลาเปิด Twitter จะรู้สึกว่าคนถกกันด้วยปัญญา แต่พออ่านคอมเม้นข่าว Line Today นี่เห็นความถ่อยชัดเลย และความเห็นหยาบๆก็ถูกโหวตบวกรัวๆ เห็นละเพลีย,,,,1100099119454904320,https://twitter.com/prempridas/status/1100099119454904320
chocoricocoa,2019-02-26 01:20,0,0,,ตลาดล่าง ไม่เกี่ยวกับฐานะเลยจริงๆ เกี่ยวกับพฤติกรรมล้วนๆ,,,,1100098238609117184,https://twitter.com/chocoricocoa/status/1100098238609117184
UFLBSS01,2019-02-26 01:19,0,1,,ไม่ค่อยอยากจะใช้คำนี้เท่าไหร่แต่ยิ่งอ่านยิ่งเห็นยิ่งเจอก็นึกออกอยู่แค่คำเดียว ตลาด ล่าง,,,,1100098003191324672,https://twitter.com/UFLBSS01/status/1100098003191324672
tftt_tornf,2019-02-26 01:17,0,0,,หมาหมู่สัสๆเลย พวกเหี้ย ตลาดล่าง ประชากรคุณภาพต่ำ! https:// twitter.com/Sn_Nueng/statu s/1099960202214817792 …,,,,1100097451199848451,https://twitter.com/tftt_tornf/status/1100097451199848451
chrno_charnox,2019-02-26 01:13,0,0,,เข้าใจอารมณ์คนภูมิใจที่เห็นคนในครอบครัวห่มผ้าเหลืองนะ แม้จะเป็นช่วงเวลาสั้นๆไม่ถึงวันก็ตาม ถ้าบ้านเราเจออะไรแบบนี้ก็เป็นทุกข์เหมือนกัน คนบวชก็ทุกข์ ทั้งๆที่ไม่ควรจะทุกข์ เพื่อนมาร ตลาดล่าง ทำเสียแท้ๆ พระท่านสึกมากก็เลิกคบไปนะ คนแบบนี้ไม่ควรเกาะผ้าเหลืองไปด้วยหรอก,,,,1100096543774859265,https://twitter.com/chrno_charnox/status/1100096543774859265
milkshakejp_,2019-02-26 01:07,0,0,,เราว่าไม่เกี่ยว ตลาดล่าง ไม่น่าคิดไปถึงจุดบาปบุญนะ มันคือความกระสันแล้วไม่มีเงินจะซื้ออุปกรณ์ป้องกันมากกว่า,,,,1100094943010250758,https://twitter.com/milkshakejp_/status/1100094943010250758
chrno_charnox,2019-02-26 01:06,0,0,,เออ อันนี้สงสารพระจริงๆ เขาตั้งใจจะบวช แต่มารในรูปแบบเพื่อน ตลาดล่าง ทำให้ได้บาปมากกว่าบุญ อันนี้อยากให้แยกประเด็นตรงนี้,,,,1100094743290101760,https://twitter.com/chrno_charnox/status/1100094743290101760
polkunx,2019-02-26 01:02,0,0,,พวกที่ด่า #หนูรัตน์ ก็คือกลุ่มคน ตลาดล่าง จำพวกนึง,,,#,1100093807373086720,https://twitter.com/polkunx/status/1100093807373086720
needirenen,2019-02-26 00:54,0,0,,ยุคของ ตลาดล่าง,,,,1100091775941697536,https://twitter.com/needirenen/status/1100091775941697536
baroqu_e,2019-02-26 00:53,0,0,,ตลาดล่าง หมายถึงพวกขยะสังคมมิใช่ฐานะ,,,,1100091428745535490,https://twitter.com/baroqu_e/status/1100091428745535490
baroqu_e,2019-02-26 00:52,0,0,,ส่องแท็กวัดสิงแล้วแบบ อิพวก ตลาดล่าง นี่มันหน้าหีจิงๆเลยค่ะ ดอกทอง อิเวน,,,,1100091261988495360,https://twitter.com/baroqu_e/status/1100091261988495360
