username,label,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
NammonKarine,4,2019-01-21 02:51,0,0,แต่ก้เกลียดขี้หน้ามันเหมือนกันว่าทรีตสาวๆกุได้ ทุเรศ มาก อยากคีปวงไม่คีปคน สัญญาหักคอจิ้มน้ำพริก ไรพวกนี้คืองี่เง่ามากจนไม่คิดว่าค่าย taste ดีชิบหายจะตกม้าตายเรื่องแบบนี้ อะไรดีๆที่ควรปล่อยของก้ไม่ได้ปล่อย งบโปรโมทถ้าลงทุนออกไลฟ์หน่อยก้ได้กลับมาเยอะแต่ไม่ทำ อ่านทวนละก้เหี้ยมากพอดู,,,,1087075056826560512,https://twitter.com/NammonKarine/status/1087075056826560512
solsolzapmakja,0,2019-01-21 02:26,0,0,ดึกแล้ววววว https:// twitter.com/mmhntt/status/ 1087053993866489856 …,,,,1087068950582636544,https://twitter.com/solsolzapmakja/status/1087068950582636544
AYouwriteiread,0,2019-01-21 02:08,0,0,ตอนนี้ไวน์คือเครื่องดื่มที่นี่ไม่เอาแล้วอะ เข็ดในเข็ด มันกะอะไรไม่ได้เลย รู้สึกตัวอีกทีภาพตัด นอนจมกองอ้วกแล้ว คือจมกองอ้วกจริงๆ กินอะไรก็ไม่เคยเมา ทุเรศ เท่าไวน์แล้ว พอเลยจ้า,,,,1087064465575571457,https://twitter.com/AYouwriteiread/status/1087064465575571457
iuxkodlnw,0,2019-01-21 02:01,0,0,ทุกวันนี้ชีวิตเจอแต่โรคจิต เดี๋ยวพูดจา ทุเรศ ๆใส่ทุกวัน แม่งห่าไรวะ เหนื่อยที่ต้องยิ้มให้พวกแม่งทั้งๆที่ในใจอยากด่า ทำไมวะ ต้องมารู้สึกแย่แบบนี้ทุกวันเลยเหรอ,,,,1087062468642332672,https://twitter.com/iuxkodlnw/status/1087062468642332672
x_lleox,0,2019-01-21 01:58,0,0,ทุเรศ,,,,1087061939686072320,https://twitter.com/x_lleox/status/1087061939686072320
ntk2544,0,2019-01-21 01:42,0,0,ฉันพูดในใจว่า ทุเรศ เป็นร้อยครั้ง,,,,1087057888369987584,https://twitter.com/ntk2544/status/1087057888369987584
kurisara104,2,2019-01-21 01:42,0,0,ทุเรศ ไอสัสกูเป็นลูกเป็นหลานมึงกูอายมุดดินหนีอะ ตรรกะเหี้ยๆแบบนี้เลิกใช้เถอะ https:// twitter.com/thairath_news/ status/1086942209151135746 …,,,,1087057848188583936,https://twitter.com/kurisara104/status/1087057848188583936
grannnuay,2,2019-01-21 01:36,0,0,ทุเรศ,,,,1087056322502090753,https://twitter.com/grannnuay/status/1087056322502090753
solsolzapmakja,0,2019-01-21 01:23,0,0,ทำไมน้องไม่นอนครับ https:// twitter.com/mmhntt/status/ 1087048510606696449 …,,,,1087052993772417024,https://twitter.com/solsolzapmakja/status/1087052993772417024
lucasvapor,0,2019-01-21 01:18,0,0,ทุเรศ ที่สุดแล้วคอมผม ช้าจน,,,,1087051821342846976,https://twitter.com/lucasvapor/status/1087051821342846976
ktxkhawtom,0,2019-01-21 01:16,0,0,ทุเรศ จังว https:// twitter.com/me_night18/sta tus/1087044542887411713 …,,,,1087051153978716163,https://twitter.com/ktxkhawtom/status/1087051153978716163
KimKaoKimKao,0,2019-01-21 01:01,0,0,เห็นคนอื่นน่ารักแล้ว อยากน่ารักบ้าง ผลคือกู ทุเรศ เดินทางตัวเองดีสุด555555,,,,1087047470868119552,https://twitter.com/KimKaoKimKao/status/1087047470868119552
ployyswaqx,0,2019-01-21 00:54,0,0,อิสัส ทุเรศ มากมะให้เวลากุคิดเรย5555555555,,,,1087045778902675457,https://twitter.com/ployyswaqx/status/1087045778902675457
QueenXinee,0,2019-01-21 00:53,6,2,ใครว่าญี่ปุ่นของแพง ขอเถียง มึงไปเดินดงกี้ เสื้อผ้าราคา 100-300 เยอะแยะมาก ที่สำคัญ คือแพทเทิร์นการเย็บ เนื้อผ้าไม่ ทุเรศ แบบของไทยที่ขาย 100-200 ผ้าดีมาก การตัดเย็บเนียบมาก เครื่องสำอางค์ รองเท้ากระเป๋า ราคาร้อยปลายๆพันนิดๆ คือคุณภาพที่หายากอะในไทย จนรู้สึกน้อยใจประเทศตัวเอง,,,,1087045400928735232,https://twitter.com/QueenXinee/status/1087045400928735232
maqarex,0,2019-01-21 00:51,0,0,แล้วเป็นคนถ่ายรูป ทุเรศ มาก ตกขอบบ้าง ถ่ายๆหยุดๆบ้าง เพราะมือกดถ่ายแต่ตาไม่ได้มองมือถือเลย555555555 เวททท pic.twitter.com/SGj05cpX9I,,,,1087044921066905600,https://twitter.com/maqarex/status/1087044921066905600
terkartaeyoungx,0,2019-01-21 00:47,0,0,เปนใครอ่ามาด่าเค้า ทุเรศ ?????,,,,1087043949968076802,https://twitter.com/terkartaeyoungx/status/1087043949968076802
bcyeoll,0,2019-01-21 00:37,0,0,ทุเรศ พอๆกับช่วงวิเคราะห์ชบที่รอยตรงคอพี่แบคตอนนั้นเลยนะ ตอนที่พี่ปวดเอวแล้วจับผิดว่าที่ปากน้องชานยอลแตกอะไป...กันมา,,,,1087041531305877504,https://twitter.com/bcyeoll/status/1087041531305877504
jisooblissx,2,2019-01-21 00:36,0,0,' ทุเรศ ',,,,1087041138849046528,https://twitter.com/jisooblissx/status/1087041138849046528
PrawSirorat,0,2019-01-21 00:34,0,0,ให้กู 10 แต่อยากได้ 100 หรอ ทุเรศ !,,,,1087040641899483137,https://twitter.com/PrawSirorat/status/1087040641899483137
seasontimednx,0,2019-01-21 00:34,0,0,"อีกไม่นานจารย์เดือนเมฆก็จะจบแล้ว คิดถึงมากแน่ๆ,_,",,,,1087040578783567873,https://twitter.com/seasontimednx/status/1087040578783567873
jewelssj_,0,2019-01-21 00:29,0,0,#นายด๋อยส์แซ่บสี้ดส้าดกับมุกทุเรศของเขา Ep.2 'บทสนทนาในคอล' จีเวล:อยากกินมาการองที่คนอังกฤษฝรั่งเศสหรือปารีสหรือสักที่นึงเขาเรียกว่ามาการูน ด๋อย:คนปารีสกะคือเอาปลามารีด จีเวล: ทุเรศ ศศศศ ด๋อย:ส่วนคนฝรั่งเศสไปปารีสก็จะเป็นฝรั่งรีส จีเวล:มึง ปารีสอยู่ฝรั่งเศส ด๋อย: ... @danxx96,,@danxx96,#,1087039367867060224,https://twitter.com/jewelssj_/status/1087039367867060224
straypats,0,2019-01-21 00:24,1,0,2. นัดเพื่อนไว้อนุสิบโมง สรุปเพื่อนไลน์มาบอกว่านางสู่ขิตยาวตั้งแต่เมื่อคืน ให้ล่วงหน้าไปก่อนเลย ก็แบบเค ต่อรถตู้ไปลงอิมแพค ละต่อวิน(อีกแล้ว)ไปลงธดด สภาพหัวคือ ทุเรศ ทุรังมาก จากการเซ็ตผมสองต่อโดยพี่วิน เพื่อนอุตส่าห์หวีผมให้มาก็คือเละ ชีวิตเส้าว่ะ,,,,1087038195886219264,https://twitter.com/straypats/status/1087038195886219264
ONGFONG44WW,0,2019-01-21 00:23,0,0,คน ทุเรศ มักไม่ยอมรับความจริง เช่น ชา https:// twitter.com/CHA90NN/status /1087037762354610176 …,,,,1087037942999089152,https://twitter.com/ONGFONG44WW/status/1087037942999089152
ONGFONG44WW,0,2019-01-21 00:22,0,0,หยี๋ ทุเรศ https:// twitter.com/CHA90NN/status /1087037495651401728 …,,,,1087037626081656832,https://twitter.com/ONGFONG44WW/status/1087037626081656832
furbyjinyoungx,0,2019-01-21 00:19,0,0,พี่มายยยยย ขอบคุณมากค้าบ แอคผิด ทุเรศ มากฝากจัดการให้หน่อย 55555555 มานัดเจอกันอีกกกก,,,,1087036816505528320,https://twitter.com/furbyjinyoungx/status/1087036816505528320
soso6139,2,2019-01-21 00:12,0,0,ใจเย็นนะเธอนะๆๆคน ทุเรศ ​คือเธอป่าว555,,,,1087035064205041665,https://twitter.com/soso6139/status/1087035064205041665
aunti_t,0,2019-01-21 00:10,4,0,แพ้ ทุเรศ ก็นอนไม่หลับ ชนะก็นอนไม่หลับ แพ้แบบสู้ได้ก็นอนไม่หลับ คือแบบว่า อีกนิดเดียว 555,,,,1087034536704143362,https://twitter.com/aunti_t/status/1087034536704143362
soso6139,0,2019-01-21 00:07,0,0,แล้วนี่ไม่โรคจิต​อ่อเธอ555ด่าความสุขของคนอื่นถ้ามีคนมาด่าเวลาเธอทำอะไรที่มีความสุขว่าโรคจิต​ปัญญาอ่อน​ ทุเรศ งี้คือเธอจะโอเครไหมอ่ะ5555,,,,1087033941595312128,https://twitter.com/soso6139/status/1087033941595312128
seasontimednx,0,2019-01-21 00:02,0,0,จุ้บดิ,,,,1087032734218764289,https://twitter.com/seasontimednx/status/1087032734218764289
seasontimednx,0,2019-01-21 00:02,0,0,รักน้า จุ้ยๆ,,,,1087032699192111104,https://twitter.com/seasontimednx/status/1087032699192111104
