username,date,retweets,favorites,label,text,geo,mentions,hashtags,id,permalink
4mseZtLlYjzb5it,2019-02-25 19:27,0,1,,เจ้สวยมาก​ น่า​เย็ด สุดๆๆ pic.twitter.com/3fjogVNYM7,,,,1100009399072903168,https://twitter.com/4mseZtLlYjzb5it/status/1100009399072903168
p4vklwlTWPJW4ld,2019-02-25 19:11,0,0,,หีสวย น่าเย็ด มากคับ,,,,1100005409312522240,https://twitter.com/p4vklwlTWPJW4ld/status/1100005409312522240
DonKign,2019-02-25 18:59,0,0,,น่าเย็ด จังคุน,,,,1100002320941608965,https://twitter.com/DonKign/status/1100002320941608965
LessismoreKarn,2019-02-25 18:51,0,0,,ก็คนมัน น่าเย็ด นี่,,,,1100000406220881920,https://twitter.com/LessismoreKarn/status/1100000406220881920
I1Av2ye772IL3Uo,2019-02-25 18:09,0,0,,น่าเย็ด มากครับ,,,,1099989805209858054,https://twitter.com/I1Av2ye772IL3Uo/status/1099989805209858054
tpanla,2019-02-25 18:09,0,0,,น่าเย็ด มากๆครับ,,,,1099989694849269761,https://twitter.com/tpanla/status/1099989694849269761
sexliofoa,2019-02-25 18:08,0,2,,น่าเย็ด มากครับ,,,,1099989513709862914,https://twitter.com/sexliofoa/status/1099989513709862914
xgZRJTe3270fHMH,2019-02-25 17:22,0,1,,น่าเย็ด จัง,,,,1099977928018780160,https://twitter.com/xgZRJTe3270fHMH/status/1099977928018780160
tatum12704263,2019-02-25 17:03,0,0,,เนียนสวย น่าเย็ด มากเลย,,,,1099973086504316928,https://twitter.com/tatum12704263/status/1099973086504316928
c73692265,2019-02-25 17:01,0,0,,@preennx น่าเย็ด มากคับ ตรังคับ,,@preennx,,1099972549075558400,https://twitter.com/c73692265/status/1099972549075558400
WO9mHLS5Tj6UpCt,2019-02-25 17:00,0,1,,น่าเย็ด ฉิบหาย,,,,1099972376492630016,https://twitter.com/WO9mHLS5Tj6UpCt/status/1099972376492630016
c73692265,2019-02-25 16:59,0,0,,@CRiz5Hk9MrxYtwq น่าเย็ด มากคับ,,@CRiz5Hk9MrxYtwq,,1099972244812382215,https://twitter.com/c73692265/status/1099972244812382215
c73692265,2019-02-25 16:59,0,0,,น่าเย็ด อยากเย็ดคนทรงผมนี้,,,,1099972188361216000,https://twitter.com/c73692265/status/1099972188361216000
