username,date,retweets,favorites,label,text,geo,mentions,hashtags,id,permalink
VSEEA,2019-02-11 23:18,87,7,,ดราม่าจากซิมซิมิคือนอกจาก ปัญญาอ่อน แล้วกูยังงงว่ายังมีคนเล่นแอพนี้เหรอ หรืออินช้าไปหกเจ็ดปี,,,,1094994051277893634,https://twitter.com/VSEEA/status/1094994051277893634
BeeBeeB67706145,2019-02-11 22:54,2,2,,นี่มันละคร ปัญญาอ่อน อะไรกัน พี่เพียวไม่ได้กล่าว หนูกล่าวเอง ..ขอโทษพี่บรด้วยค่ะ แคปหน้ามันได้ #สงครามนักปั้น pic.twitter.com/43K356nwmM,,,#,1094987941426782208,https://twitter.com/BeeBeeB67706145/status/1094987941426782208
iammBABY,2019-02-11 22:30,9,3,,นี่มันสังคม ปัญญาอ่อน อะไรกันน - คุณเพียวกล่าว #สงครามนักปั้น pic.twitter.com/0AJtFkF9aY,,,#,1094982016045445120,https://twitter.com/iammBABY/status/1094982016045445120
pome_blackpink,2019-02-11 18:59,63,167,4,สรุปว่าตอนนี้วง BLACKPING คือจุดสูงสุดของ GG แล้วใช่ไหมอ่ะ ถึงมีการวัดโน้นวัดนี้ กระแซะกระแนะกระแหนกันตลอด บางครั้งก็เบื่อๆ ด้อม ปัญญาอ่อน สมองเท่าเม็ดถั่ว พวกนี้เหมือนกัน ต่างคนต่างอยู่จ้าาาา #BLACKPINK pic.twitter.com/TjH8iMuqEM,,,#BLACKPINK,1094928962663247873,https://twitter.com/pome_blackpink/status/1094928962663247873
Aewangz1606,2019-02-11 16:25,6,5,,"'เอริคทำอะไรอ่ะ' ควงปืนไง เท่ป้ะล้าาาา"" 'เอริค' ""หื้ม เรียกไรนักหนาอ่ะแม็กซ์"" ' ปัญญาอ่อน ' ""ไอ้แม็กซ์ ไอ้หน้าหม--"" ' ' pic.twitter.com/PnO7Ruft7x""",,,,1094890175568666625,https://twitter.com/Aewangz1606/status/1094890175568666625
Kwanjaiji,2019-02-11 14:20,0,3,,ไม่ ปัญญาอ่อน ไปตบตีกับใครหรอกน่ะ55555 pic.twitter.com/r1HFO8CfTe,,,,1094858736236032002,https://twitter.com/Kwanjaiji/status/1094858736236032002
Daddyjohnxjohn,2019-02-11 09:50,149,50,,เป็นแด๊ดดี้แล้วไล ปัญญาอ่อน ได้เหมือนกัน มาครับผมพึ่งนิวแอครอบที่ล้าน Rt : Ff : dm #บอทหาคนคุย #บอทNCT #บอทหาทุกอย่าง #บอทหาเพื่อนคุย #rtทักเดม #rtตามฟอล #rtฟอลพรี #เรียลหญิง #เรียลชาย #เรียลมัธยมปลาย #เรียลทํางาน #เรียลมัธยม,,,# # # # #rt #rt #rt # # # # #,1094790734681501696,https://twitter.com/Daddyjohnxjohn/status/1094790734681501696
HappyAnymore,2019-02-10 08:25,41,31,,การเมืองนิดนึง คือ2019 แล้ว ก็ยังมีตนคนที่คิดว่ามีแค่เหลืองกับแดงอยู่อีกหรอ ไม่เอาประยุธหาว่าเป็นแดงเฉย ไม่เอาแดงหาว่าเป็นสลิ่ม ปัญญาอ่อน หรอ นาทีนี้เลือกคนที่ทำให้ประเทศก้าวไปข้างหน้าดีไหม เลือกคนเดิมๆทำอะไรเดิมๆผลลัพก็เหมือนเดิม พี่ริต้าบอก #ฟ้ารักพ่อ #ทรงพระสเลนเดอร์,,,# #,1094406901129871360,https://twitter.com/HappyAnymore/status/1094406901129871360
maesao_nui,2019-02-09 12:24,7,5,,ท้อ : อาต กุยักเล่นสงกานว่พ เหนเขาเร่นกัานสนุก อาร์ต : ปัญญาอ่อน หรอมึง วันนี้ไม่ใช่วันสงกรานต์! ท้อ : ก้กุแค่ยักเร้นป่ะ ยักเปนโมะอ้านา อาร์ต : ได้มึงได้... (ถือสายยาง) ท้อ : อุ้ววววว อ้อววว กอชชช กุรุ้สึกเร้าร่อนนนน!!!! อาร์ต : เหี้ยเอ๊ย เอามีดแทงตากูที #น้องของผมคือคนดื้อดึง pic.twitter.com/3RQVfxdu6E,,,#,1094104825308966920,https://twitter.com/maesao_nui/status/1094104825308966920
JellyBamBam1A,2019-02-09 04:14,8,15,,ความ ปัญญาอ่อน ของ มย.ยูคมาร์คก็มีนะ คู่เธอไม่ได้โดนอยู่คู่เดียวอีกอย่างคนที่เป็นเมนน้องแบมไม่ได้ชิปน้องกับใครต้องมานั่งดูพวก ปสด.อย่างเธอแซะเมนฉันอีกนานไหมอ่ะ เคร่งมารยาทนักก็สอนเพื่อนในเรือหน่อยนะ อินจนด่า มบ.ทำตัวเรื้อนเหมือนเรือขยะเข้าไปทุกที นี่คือเรือที่เธอบอกว่ามีมารยาท? pic.twitter.com/zoM1mYZ3NC,,,,1093981396350070784,https://twitter.com/JellyBamBam1A/status/1093981396350070784
