username,label,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
jsdk2203,4,2019-01-21 01:31,0,0,หัดดู สารรูป ตัวเองบ้าง,,,,1087055106095210497,https://twitter.com/jsdk2203/status/1087055106095210497
NT_NNNT,0,2019-01-20 23:15,0,0,ธันวา 03 ส่วนอิฉันนั้นต้นปีนะคะ แต่มอง สารรูป น้องกับตัวเองแล้วแบบ อีเวน ฉันทำอะไรอยู่ 555555555555,,,,1087020925084549120,https://twitter.com/NT_NNNT/status/1087020925084549120
nqniang,0,2019-01-20 21:12,0,0,กาวหมดไปกี่ป๋อง สารรูป มา,,,,1086989888157696000,https://twitter.com/nqniang/status/1086989888157696000
fainxwonyoung,0,2019-01-20 21:08,0,0,ใครคะ!!!!! สารรูป มาเร็ว!!!!!!!!,,,,1086988758384168960,https://twitter.com/fainxwonyoung/status/1086988758384168960
headjungkookbyx,0,2019-01-20 18:56,0,0,@yangyangelfx อวต.ใคร สารรูป มา 55555,,@yangyangelfx,,1086955629510483970,https://twitter.com/headjungkookbyx/status/1086955629510483970
PrimluckW,0,2019-01-20 16:31,0,0,เปิดมาแค่สองอาทิตย์ก็เครียดขนาดนี้ละ นึก สารรูป ตัวเองตอนจบเทอมไม่ออกเลยว้อย,,,,1086919099333074944,https://twitter.com/PrimluckW/status/1086919099333074944
jungkookfuzexjr,0,2019-01-20 14:05,0,0,พี่5555555555 พี่เป็นหมอดูใช่ไหม สารรูป มา https:// twitter.com/taehyungfuzbie x/status/1086882139801436162 …,,,,1086882344319934464,https://twitter.com/jungkookfuzexjr/status/1086882344319934464
xACE_FAYx,0,2019-01-20 13:45,0,0,เอาจริงนะ แม่งควรเลิกทัก สารรูป คนอื่นได้แล้ว อ้วนขึ้น สิวเยอะขึ้น โทรมมาก อะไรแบบเนี่ย เลิกทัก รำคาญ คิดว่าคนฟังเค้ารู้สึกยังไง เป็นกูกูไม่พูดนะแบบนี้ มารยาทนิดนึง,,,,1086877418491568129,https://twitter.com/xACE_FAYx/status/1086877418491568129
dontreebom29,0,2019-01-20 10:43,0,0,ผมโดนคุณองตกไปตั้งแต่ครั้งแรกที่เห็นคุณในMv เพลง Beautiful แบบเห้ยนี้ใครอะ หน้าตาแบบโดดเด่นมีเสน่ห์มาก หลังจากนั้นเลยเสิทหาสืบจนรู้ว่าเป็นใคร มาจากวงไหน( สารรูป เอ้ย!สารภาพเลยว่าตอนแรกไม่รู้จัก วนว. ...คือผมไปอยู่ไหนมา ) มาจากรายการอะไร ค่ายอะไร จนมาเป็นติ่งของคุณองรวมถึง วนว. pic.twitter.com/gkj7kXpVCQ,,,,1086831573448589312,https://twitter.com/dontreebom29/status/1086831573448589312
parkcn_,0,2019-01-20 01:06,0,0,เนี่ยก็เรื่องมากแบบไม่ดู สารรูป ตัวเอง จะโสดก็ไม่แปลกมั้ยกู 555555555555,,,,1086686433522245632,https://twitter.com/parkcn_/status/1086686433522245632
ardorseongwux,0,2019-01-19 22:19,0,0,@haizeaxxxx_ สารรูป ตามตรงตอนเเรดอ่านเปนฮายเซ,,@haizeaxxxx_,,1086644372496470016,https://twitter.com/ardorseongwux/status/1086644372496470016
jamyjameslukex,0,2019-01-19 21:41,1,0,หลบไม่พ้นสักทาง ใครยิง mynamesuay นาย สารรูป มานะ!! #PUBGMOBILEXBOT,,,#PUBGMOBILEXBOT,1086634788037902336,https://twitter.com/jamyjameslukex/status/1086634788037902336
jewelssj_,0,2019-01-19 21:19,0,0,รักนะทับบี้ แต่แบบ มีเรื่องจะ สารรูป ว่าเราทำของเธอชุ่ยสุดแร้ว อิ๊,,,,1086629149861543936,https://twitter.com/jewelssj_/status/1086629149861543936
psms777,0,2019-01-19 19:47,0,0,แล้วคือบับ...บอกกู กูรับไม่ได้ ที่จะต้องมีเพื่อนแต่งตัวแบบนี้ เป็นเหี้ยอะไรคะ?? กูแต่งตัวแบบนี้ผิดใช่ป่ะ หลงตัวเอง คิดว่า สารรูป สวยหรอ แหวะ!! กูจะอ้วก ถ้าเกิดมึงไม่อยากยืนข้างข้างกูมึงก็ไปยืนข้างหลังกูไปอีเวนต์ เหมือนกูอยากเดินข้างมึงไอ้เหี้ย โพสทวิตอย่างโน้นอย่างนี้อีดอก,,,,1086606126471249920,https://twitter.com/psms777/status/1086606126471249920
