username,date,retweets,favorites,label,text,geo,mentions,hashtags,id,permalink
nieljaaiscience,2019-01-21 00:56,0,0,,ถ้าดับอีกกุจะเอาไปปาหน้าเจ้าของsolove แะงก็แพง หน้าเหี้ย,,,,1087046172319969280,https://twitter.com/nieljaaiscience/status/1087046172319969280
thida2560,2019-01-21 00:45,0,0,4,อีพวกเล่นบอทตัวจริงก็คงจะ หน้าเหี้ย หรือไม่ก็เป็นทอมอ้วนๆตัวดำขี้ไคลเต็มหลังคอเลยต้องใช้รูปศิลปินมาเย็ดกันผ่นตัวหนังสือ ดิฉันล่ะสมเพชจริงๆค่ะ #ยืมเมจforsex,,,#,1087043418348376064,https://twitter.com/thida2560/status/1087043418348376064
jaguaxalone,2019-01-21 00:44,0,0,,หน้าเหี้ย,,,,1087043130661101568,https://twitter.com/jaguaxalone/status/1087043130661101568
Nannapatsorn15,2019-01-21 00:21,0,0,,การบ้านคณิต 11 หน้า วิทย์อีก 11 หน้า เหี้ย ไร,,,,1087037531462352898,https://twitter.com/Nannapatsorn15/status/1087037531462352898
JKwithFIRE,2019-01-20 23:56,0,0,,,,,,1087031143054991361,https://twitter.com/JKwithFIRE/status/1087031143054991361
JKwithFIRE,2019-01-20 23:56,0,0,,Sister โพ่ง https:// twitter.com/g00am/status/1 087030655974748160 …,,,,1087031099077799937,https://twitter.com/JKwithFIRE/status/1087031099077799937
JKwithFIRE,2019-01-20 23:56,0,0,,นี่พี่มึงไงงง โหดได้พี่วะพูดเลย,,,,1087031037203341313,https://twitter.com/JKwithFIRE/status/1087031037203341313
KPicasso06,2019-01-20 23:53,0,0,4,อีไอ อี หน้าเหี้ย กุจะบล็อคมึง,,,,1087030401099489280,https://twitter.com/KPicasso06/status/1087030401099489280
JKwithFIRE,2019-01-20 23:49,0,0,,หงุดหงิด นอน! Fuck u all. ใครเลื่อนมาเจอขอให้ฝันร้าย,,,,1087029311352127489,https://twitter.com/JKwithFIRE/status/1087029311352127489
JKwithFIRE,2019-01-20 23:46,0,0,,กูไม่ได้หยิ่ง กูแค่ตอบไม่ได้โว้ย กูขอให้ลิมิตเล่นมึงเหมือนที่เล่นกับกู น้อง เหี้ย สาธุๆๆๆๆ @techx97,,@techx97,,1087028488043786242,https://twitter.com/JKwithFIRE/status/1087028488043786242
Jjjyah_,2019-01-20 23:45,0,0,,เออ หน้าเหี้ย !,,,,1087028229322358784,https://twitter.com/Jjjyah_/status/1087028229322358784
JKwithFIRE,2019-01-20 23:44,0,0,,กูวิ่งหนีแน่ครับพี่น้อง,,,,1087028142298943489,https://twitter.com/JKwithFIRE/status/1087028142298943489
MyNameIsShipper,2019-01-20 23:44,1,1,,Thank you #TAEYONG ขอบคุณสำหรับรูปร่วมเฟรมเดียวกันของ #jaedo พี่เป็นหัวเรือที่ดีนะพี่แทยง ช่วยหนูพายด้วยนะพี่.... pic.twitter.com/AL8sLkPgBv,,,#TAEYONG #jaedo,1087028122212458496,https://twitter.com/MyNameIsShipper/status/1087028122212458496
JKwithFIRE,2019-01-20 23:44,0,0,,คุยเยอะแต่ไม่ได้คุยหลายคน,,,,1087028069137674242,https://twitter.com/JKwithFIRE/status/1087028069137674242
JKwithFIRE,2019-01-20 23:42,0,0,,เริ้ปก็ได้,,,,1087027688634609664,https://twitter.com/JKwithFIRE/status/1087027688634609664
JKwithFIRE,2019-01-20 23:42,0,0,,ชาตินึงคุยที กูจะลืม เรื่องของกูครับ,,,,1087027647710822401,https://twitter.com/JKwithFIRE/status/1087027647710822401
37O49,2019-01-20 23:40,0,0,,กูมีเหี้ยไรดีบ้างเนี่ย หน้าเหี้ย ละนิสัยยังเหี้ยอีก 5555555,,,,1087027011929833472,https://twitter.com/37O49/status/1087027011929833472
JKwithFIRE,2019-01-20 23:39,0,0,,.ถีบ,,,,1087026857218793474,https://twitter.com/JKwithFIRE/status/1087026857218793474
minghao175cm,2019-01-20 23:39,0,0,,ถ้าคิดว่าตอนนี้กู หน้าเหี้ย แล้ว ไอ้ 10ปีชาร์เลนจ์นี่กูไม่กล้าเล่นเลยสัส หนักมากพูดเลย,,,,1087026744333238273,https://twitter.com/minghao175cm/status/1087026744333238273
JKwithFIRE,2019-01-20 23:35,0,0,,ไม่ได้คุยหลายคน กูแค่กวนตีนเขาเยอะไป แค่นั้นเอง,,,,1087025808382689281,https://twitter.com/JKwithFIRE/status/1087025808382689281
ministhewinner,2019-01-20 23:34,0,0,"2,4",ไอควายไอสัด ไอ หน้าเหี้ย มึฃทุบบริษัทมึงทิ้งไปไอควาย,,,,1087025702862385152,https://twitter.com/ministhewinner/status/1087025702862385152
JKwithFIRE,2019-01-20 23:33,0,0,,เจ้าเวย์อย่าเศร้าไปโลยยยย,,,,1087025439732785152,https://twitter.com/JKwithFIRE/status/1087025439732785152
JKwithFIRE,2019-01-20 23:32,0,0,,อย่าให้กูได้ตอบแชทนะมึง ถึงกูจะจำไม่ได้ว่ามึงใครก็เถอะ ถีบ หน้า ให้ @gh_jent,,@gh_jent,,1087025091458752513,https://twitter.com/JKwithFIRE/status/1087025091458752513
Kimboatjae,2019-01-20 23:25,0,0,,คลิปพูมโดม ติดหน้ากูไปเกือบครึ่งคลิป หน้าเหี้ย มากกกก พัก,,,,1087023327867133952,https://twitter.com/Kimboatjae/status/1087023327867133952
jxtk97,2019-01-20 23:22,0,0,,ไอ้ หน้าเหี้ย,,,,1087022460170469376,https://twitter.com/jxtk97/status/1087022460170469376
MLY1D,2019-01-20 23:13,0,0,,เวลาโดนคนทักว่า หน้าเหี้ย จัง,,,,1087020201118330881,https://twitter.com/MLY1D/status/1087020201118330881
tdsep,2019-01-20 23:01,0,0,,อีเหี้ยเอ้ย แล้วเมลล์เพิ่งเปลี่ยนรหัสไป กว่ากุจะตั้งได้มันไม่ใช่เรื่องง่ายเลยนะ แฮคหาพ่อมึงหรอ อี หน้าเหี้ย มันลำบากนะเว้ยกว่าจะจำรหัสแต่ละอย่างได้อะ อีควาย หงุดหงิด,,,,1087017225293258752,https://twitter.com/tdsep/status/1087017225293258752
MozilaMasia,2019-01-20 22:59,0,0,,มีครีมแพงแค่ไหนแต่ถ้ามึง หน้าเหี้ย ก็ไม่ช่วยนะ,,,,1087016885999132672,https://twitter.com/MozilaMasia/status/1087016885999132672
YAMKHEM,2019-01-20 22:59,0,0,,อี หน้าเหี้ย ใครมาบึ้นรถ กุนอนไม่ได้,,,,1087016706071916544,https://twitter.com/YAMKHEM/status/1087016706071916544
lauek_pz,2019-01-20 22:47,0,0,,หน้าเหี้ย,,,,1087013861020975105,https://twitter.com/lauek_pz/status/1087013861020975105
piimt,2019-01-20 22:45,0,0,,ตั้งใจว่าจะตอบช้าสุดท้ายกูก็ตอบเร็วทุกที อี หน้าเหี้ย เอ้ยยย,,,,1087013268181331968,https://twitter.com/piimt/status/1087013268181331968
sirinishappy,2019-01-20 22:44,0,0,,หลานชายม.3 บ่นในตอรี่ว่าเพื่อนประถมไปไกลแล้ว หน้าตาดี แล้วตัวเองยังไม่เวิร์ค คือแบบ เอ็งเพิ่งม.3 ตอนม.3ใครๆเขาก็ หน้าเหี้ย ทั้งนั้นแหละ!!!!,,,,1087012888118648832,https://twitter.com/sirinishappy/status/1087012888118648832
CATNINGH24,2019-01-20 22:41,0,1,,หน้าเหี้ย,,,,1087012222306402304,https://twitter.com/CATNINGH24/status/1087012222306402304
vkornjiran,2019-01-20 22:39,0,0,,ถึงนี่ หน้าเหี้ย แต่หยิ่งนะ ไม่เชื่อก็ทักมาสิ,,,,1087011719400968193,https://twitter.com/vkornjiran/status/1087011719400968193
Cookkaitaaa,2019-01-20 22:30,0,0,,กูซื้อมาเท่าไหร่ก็ไม่รู้ลืมแต่ไม่แพงมากนะตอนนั้นมันลดด555555 เหมือนจะขาวขึ้นแต่ หน้าเหี้ย เหมือนเดิมเซง,,,,1087009513889091590,https://twitter.com/Cookkaitaaa/status/1087009513889091590
choice2110,2019-01-20 22:28,0,0,,มึง หน้าเหี้ย ต่างหาก555555,,,,1087008865684664320,https://twitter.com/choice2110/status/1087008865684664320
MozilaMasia,2019-01-20 22:27,0,0,,หน้าเหี้ย มากตอนนี้ ข้างแก้มเห่อสัส คางก็อักเสบแบบปวด หน้าผากคือผดขึ้นยุบยิบ พีคสัส,,,,1087008661065461760,https://twitter.com/MozilaMasia/status/1087008661065461760
98sbitch,2019-01-20 22:08,0,0,,เหมือนกุปะ แต่งหน้าแล้วสวยขึ้น 80% หน้าสดก็คือ -80 ไปจ่ะ หน้าเหี้ย,,,,1087003825188163585,https://twitter.com/98sbitch/status/1087003825188163585
gridtanai,2019-01-20 22:06,0,0,,ไอ้คน หน้าเหี้ย แถวนี้แหละ,,,,1087003506177765379,https://twitter.com/gridtanai/status/1087003506177765379
yoongiyuiz_,2019-01-20 22:02,0,0,,หน้าเหี้ย,,,,1087002488635453442,https://twitter.com/yoongiyuiz_/status/1087002488635453442
isrpbaby,2019-01-20 21:57,1,1,4,เลิกกับเราไปแล้ว หน้าเหี้ย ขึ้นเยอะเลยนะ 5555555555555555,,,,1087001176476794882,https://twitter.com/isrpbaby/status/1087001176476794882
Lailinnnnnn,2019-01-20 21:56,0,0,,เรียล กู หน้าเหี้ย มากอย่ามายุ่งกับกู !!!,,,,1087000906841829377,https://twitter.com/Lailinnnnnn/status/1087000906841829377
MichinoriQ,2019-01-20 21:55,0,0,,อันนี้จริง คือแฟนเก่าคนแรกเคยทำ ในการสลับกันคุยสับราง ละมันมาสารภาพถึงได้รู้ว่า เออเป็นคนเจ้าชู้แบบนี้นี่เอง หน้าเหี้ย แล้วนิสัยยังเหี้ยอีกนะคะ,,,,1087000682559823872,https://twitter.com/MichinoriQ/status/1087000682559823872
ripformylife_,2019-01-20 21:52,0,0,,ไรไอ หน้าเหี้ย,,,,1087000038788624384,https://twitter.com/ripformylife_/status/1087000038788624384
Meechaichayo,2019-01-20 21:52,0,0,,ถ้ามีแฟนฐานจนอ้วนเตี้ย หน้าเหี้ย ดำๆพฤติกรรมเจ้าชู้ยังจะรักอยู่ไหม??? pic.twitter.com/H5lPFfhdL7,,,,1086999802443849729,https://twitter.com/Meechaichayo/status/1086999802443849729
markleexever,2019-01-20 21:51,1,0,,หน้าเหี้ย pic.twitter.com/7R9d9a6Hbu,,,,1086999644331069440,https://twitter.com/markleexever/status/1086999644331069440
bbmharry__17,2019-01-20 21:50,0,0,,จ๊ะ หน้าเหี้ย,,,,1086999461233012738,https://twitter.com/bbmharry__17/status/1086999461233012738
phoebepim,2019-01-20 21:37,0,0,,หน้าเหี้ย มากตอนนี้ ครีมก้โบกไม่อยู่,,,,1086996047333715969,https://twitter.com/phoebepim/status/1086996047333715969
JERJKN97_,2019-01-20 21:23,0,0,,ไอทรู ไอเหี้ย ไอ หน้าเหี้ย,,,,1086992556708118528,https://twitter.com/JERJKN97_/status/1086992556708118528
kkhiims,2019-01-20 21:15,0,0,,ไอสัส ไอ หน้าเหี้ย,,,,1086990559846182913,https://twitter.com/kkhiims/status/1086990559846182913
rasgnap,2019-01-20 21:07,0,0,,เม็นมาละ หน้าเหี้ย,,,,1086988500136734720,https://twitter.com/rasgnap/status/1086988500136734720
nnthana94,2019-01-20 21:01,0,0,,หน้าเหี้ย มากจบ....,,,,1086987037004034054,https://twitter.com/nnthana94/status/1086987037004034054
badonkadok,2019-01-20 21:00,0,0,,ถ้ามึงคิดจะไม่บอกไม่ต้องเกริ่นไอโด้ไอ หน้าเหี้ย,,,,1086986886533378048,https://twitter.com/badonkadok/status/1086986886533378048
Bever_KL,2019-01-20 21:00,0,0,,วงการหน้าม้าเข้าแล้วออกยาก ตัดเองก็ไม่ตรงจะไปตัดร้านก็กลัว หน้าเหี้ย กว่าเดิมจะปล่อยยาวก็ไม่ได้อีกรำคาญ เค่ดว่ะ,,,,1086986857668169728,https://twitter.com/Bever_KL/status/1086986857668169728
Pluc_spnr,2019-01-20 20:56,0,0,,เห้ออี หน้าเหี้ย,,,,1086985761142890496,https://twitter.com/Pluc_spnr/status/1086985761142890496
real__jrn,2019-01-20 20:38,0,0,,หน้าเหี้ย จังวะ5555555555555555555555555,,,,1086981344310132736,https://twitter.com/real__jrn/status/1086981344310132736
PRATIN_14294,2019-01-20 20:30,0,0,,รำคาญทัศนคติมึงอะ มันดูเหมือนดูถูกความรู้สึกคนอื่น หน้า เหี้ย,,,,1086979282247634945,https://twitter.com/PRATIN_14294/status/1086979282247634945
ihaveacat327,2019-01-20 20:28,0,0,,ไอ หน้าเหี้ย,,,,1086978725059555333,https://twitter.com/ihaveacat327/status/1086978725059555333
sirk_kar,2019-01-20 20:27,0,0,,ชมน่ารักก็ไม่ชอบ อุตส่าชมว่า หน้าเหี้ย แทนละ ก็ไม่ชอบอีกหรอ เดาใจยากจัง,,,,1086978427993767939,https://twitter.com/sirk_kar/status/1086978427993767939
_Aekone,2019-01-20 20:26,0,0,,หน้าเหี้ย จริงอส.นี้ https:// twitter.com/shixxxxxx_/sta tus/1086960495158947840 …,,,,1086978276860391424,https://twitter.com/_Aekone/status/1086978276860391424
sirk_kar,2019-01-20 20:12,0,0,,ออม หน้าเหี้ย จัง แหะๆ,,,,1086974783579779072,https://twitter.com/sirk_kar/status/1086974783579779072
flwhitecloud,2019-01-20 20:06,0,0,,หน้าเหี้ย,,,,1086973226914205697,https://twitter.com/flwhitecloud/status/1086973226914205697
ninano05,2019-01-20 20:03,0,0,,จริงๆนี่เวลาแนะนำตัวก็บอกชื่อนี้นะคะ แต่เรียกแค่พยางค์แรกเฉยๆก็ได้ เพราะเคยแนะนำตัวกับคนอื่นไปแล้วเค้าทำ หน้า แบบ หืมม แล้วเค้าก็เรียกเราพยางค์แรกห้วนๆมาตลอดเลย มันเลยฝังใจว่าแบบ เออ ชื่อเล่นนี้ไม่เหมาะกับเราโคตรๆเพราะ หน้า เหี้ย เวลาบอกคนอื่นก็เลยกันไว้ก่อน,,,,1086972540323454976,https://twitter.com/ninano05/status/1086972540323454976
molieong,2019-01-20 19:54,0,0,4,พวก หน้าเหี้ย ทั้งหลายไม่ต้องเสือกมายุ่งนะคะ ขนาดสวยๆแบบนี้เขายังไม่เอา,,,,1086970244734713857,https://twitter.com/molieong/status/1086970244734713857
_ssom_orapin,2019-01-20 19:51,0,0,,55555555 อี หน้าเหี้ย,,,,1086969525378023429,https://twitter.com/_ssom_orapin/status/1086969525378023429
inoctob_,2019-01-20 19:50,0,0,,มอบคำว่า ไอ หน้าเหี้ย ให้คุณคนเดียวเลยครับผม,,,,1086969306619891712,https://twitter.com/inoctob_/status/1086969306619891712
Cinnnyt,2019-01-20 19:50,0,0,,เก่งแต่ปาก ตบกับกูเหอะ ไอ หน้าเหี้ย,,,,1086969184473382913,https://twitter.com/Cinnnyt/status/1086969184473382913
kaningkanyanat,2019-01-20 19:38,0,0,,แอบอยากเลิกไว้หน้าม้าแต่รับไม่ได้ที่หน้าม้ายาวแร้ว หน้าเหี้ย,,,,1086966170777862144,https://twitter.com/kaningkanyanat/status/1086966170777862144
azhar1436,2019-01-20 19:30,0,0,,สาวน่าน ใจเด็ด ! ด่ากราด ไอ้ขี้ข้าเผด็จการ ! ใครจะตบ นี่ ถิ่น กู !! ไอ้ หน้าเหี้ย ! FC https://www. facebook.com/rusdee1436/pos ts/2003477546387517 …,,,,1086964219789148160,https://twitter.com/azhar1436/status/1086964219789148160
RakungCampana,2019-01-20 19:27,0,0,,เปิดเผยที่อยู่คือเหี้ยแบบ หน้าเหี้ย เลยอะ เวร,,,,1086963545340690434,https://twitter.com/RakungCampana/status/1086963545340690434
P_KuPee2,2019-01-20 19:27,0,0,,ทวิต หน้าเหี้ย,,,,1086963545143533568,https://twitter.com/P_KuPee2/status/1086963545143533568
bamthqnnnnnn,2019-01-20 19:16,0,0,,หนัง หน้าเหี้ย,,,,1086960710054100998,https://twitter.com/bamthqnnnnnn/status/1086960710054100998
icy_lemoneiei,2019-01-20 19:06,0,0,,พูดมาได้ หน้าเหี้ย,,,,1086958198865580032,https://twitter.com/icy_lemoneiei/status/1086958198865580032
_fFahs,2019-01-20 18:51,0,0,,กูถามจริง กูถามจริง สิ้นเดือนนนน เดือนนี้ หน้าเหี้ย,,,,1086954332937801728,https://twitter.com/_fFahs/status/1086954332937801728
