username,date,retweets,favorites,label,text,geo,mentions,hashtags,id,permalink
swaggengab_,2019-01-21 00:16,0,0,,เจอร้านอาหาร อิสลาม ที่บ้านไผ่ด้วยยย,,,,1087036118833364992,https://twitter.com/swaggengab_/status/1087036118833364992
kim_yuri_sj,2019-01-20 23:26,0,0,,และเนื่องจากเราเป็นมอเล็กๆไปจากภาคอีสาน เราไปเพราะเราอยากรู้จิงๆว่าเค้าทำยังไง เราต้องพร้อมที่จะทำทุกอย่าง ภายในครัวก็จะแยกเป็นครัวเล็กๆให้งานอีกทีนึงแต่ก็อยู่ข้างๆติดๆกันเวียนครัวละ3วัน ครัวไทย ครัวยุโรป ครัวจีน อิสลาม ครัวเย็นฯ,,,,1087023582557888513,https://twitter.com/kim_yuri_sj/status/1087023582557888513
Melonymaow,2019-01-20 23:25,0,0,,อิสลาม มาลัยกุม https://www. facebook.com/story.php?stor y_fbid=1166376110189342&id=100004508910273 …,,,,1087023251375546368,https://twitter.com/Melonymaow/status/1087023251375546368
SectionGam,2019-01-20 23:17,0,0,,3 สิ่ง ที่ อิสลาม ห้ามทำร้าย ความซื่อสัตย์กับครอบครัว http:// islamhouse.muslimthaipost.com/article/22032,,,,1087021389582864390,https://twitter.com/SectionGam/status/1087021389582864390
TIMENATEE,2019-01-20 22:41,0,0,,แม่จะมีเพื่อนเป็น อิสลาม ก็จริง แต่ลึกๆวาทกรรมที่ว่า อิสลาม หัวรุนแรงก็ยังวนเวียนอยู่,,,,1087012204962926592,https://twitter.com/TIMENATEE/status/1087012204962926592
wiko2485,2019-01-20 22:38,0,1,,อยากดูควย อิสลาม,,,,1087011427334860800,https://twitter.com/wiko2485/status/1087011427334860800
mxnxpp,2019-01-20 22:36,0,0,,อิสลาม ขึ้นสะหวันได้ใช่ไม๊,,,,1087010977793490946,https://twitter.com/mxnxpp/status/1087010977793490946
supatprikbenja,2019-01-20 22:18,0,0,,ผมพาน้องๆ สว.สิงหนครไปแสดงที่ชุมชนชายหิน เห็นมีการแสดงมาก ถ่ายวีดีโอของเยาวชน อิสลาม แสดงเก่งสุดยอดแต่ไม่กล้าเผยแพร่ ปรึกษาเพื่อนๆเก็บไว้หรือลบทิ้งดีนะ,,,,1087006549468499969,https://twitter.com/supatprikbenja/status/1087006549468499969
burjmubeen,2019-01-20 22:01,0,0,,ร้าน อิสลาม มีคนทำเนื้อกรอบ แบบฟีลหมูกรอบยังอ่ะ อยากกินอ่ะ ทำได้ป่ะวะ,,,,1087002237124005888,https://twitter.com/burjmubeen/status/1087002237124005888
taeyongvanspex,2019-01-20 21:51,0,0,,สรุป อิสลาม ต้องขึ้นสแตน ถูกมั้ย,,,,1086999763445153794,https://twitter.com/taeyongvanspex/status/1086999763445153794
PolitisKalaland,2019-01-20 21:39,0,0,,"เตรียมเยียวยา คนละ 1 ล้านบาท ให้กับชาว อิสลาม ผู้หลงผิดที่มอบตัว 5 คน หลังจาก จนท.ปะทะแนวร่วม ยอมมอบตัว 5 คน ...วิสามัญ 2 ศพ !!! เกิดเหตุ จนท.ทหาร, นปพ.จ.ยะลา... https://www. facebook.com/43572101996643 0/posts/961933707345156/ …",,,,1086996596078784518,https://twitter.com/PolitisKalaland/status/1086996596078784518
fnkraxy,2019-01-20 21:33,0,0,,สายอื่นเลี้ยงบุฟ สายนี้มี อิสลาม อดแดกหมูไปเร้ยยยยยยยย,,,,1086995080055971840,https://twitter.com/fnkraxy/status/1086995080055971840
nationweekend,2019-01-20 21:02,2,3,,"จุฬาราชมนตรี"" ส่งตัวแทนเยี่ยมภิกษุถูกยิงบาดเจ็บ เลขานุการคณะกรรมการ อิสลาม กลางแห่งประเทศไทย ชี้เหตุการณ์ที่เกิดขึ้นเป็นเรื่องของตัวบุคคล #กรุงเทพธุรกิจ http://www. bangkokbiznews.com/news/detail/82 4680 …""",,,#,1086987346929766401,https://twitter.com/nationweekend/status/1086987346929766401
ktnewsonline,2019-01-20 21:02,1,5,,"จุฬาราชมนตรี"" ส่งตัวแทนเยี่ยมภิกษุถูกยิงบาดเจ็บ เลขานุการคณะกรรมการ อิสลาม กลางแห่งประเทศไทย ชี้เหตุการณ์ที่เกิดขึ้นเป็นเรื่องของตัวบุคคล #กรุงเทพธุรกิจ http://www. bangkokbiznews.com/news/detail/82 4680 …""",,,#,1086987321055023104,https://twitter.com/ktnewsonline/status/1086987321055023104
faamiss1,2019-01-20 20:32,1,1,,การมีอัคลากฺที่ดีนั้น เป็นสิ่งที่ตอบสนองมาจากตักวาภายใน แต่อย่างไรก็ตามมันก็มีผลที่ได้รับสำคัญมากคือ การสามารถครองใจคนได้ด้วยความดีงามนี้ มิใช่เรื่องของวัตถุ อิสลาม • Islam,,,,1086979681675431936,https://twitter.com/faamiss1/status/1086979681675431936
kuanlinwaftx,2019-01-20 20:10,0,0,,ดีแทค มึง คือ พี่เขาเป็น อิสลาม 5555555555555555555555555555555555555555555555555555 pic.twitter.com/6QKSRw2nql,,,,1086974161363169280,https://twitter.com/kuanlinwaftx/status/1086974161363169280
prachatai,2019-01-20 20:02,2,3,,ผู้แทนจุฬาราชมนตรี-คณะกรรมการ อิสลาม เยี่ยมเหยื่อความรุนแรง http:// dlvr.it/Qx55Lc pic.twitter.com/VKnaFWL7qb,,,,1086972146193035264,https://twitter.com/prachatai/status/1086972146193035264
B2uty_IngIng,2019-01-20 19:55,0,0,,รู้ว่าเป็นประเทศที่ใหญ่ที่สุดที่แยกจากโซเวียตค่ะ เป็นรัฐ อิสลาม เมื่อกี้จำสลับกับปากีสถานค่ะ แหะๆ,,,,1086970372128272384,https://twitter.com/B2uty_IngIng/status/1086970372128272384
jajasirin,2019-01-20 19:51,0,3,,พุทธก็ไม่ถึง อิสลาม ก็ไม่ถึง แต่คริสต์(คิด)ถึงมากๆนะ แง่ๆๆๆๆๆๆๆๆ @Tee_Jaruji #อะไรอะไรก็ตี๋ pic.twitter.com/vRikpUPNJy,,@Tee_Jaruji,#,1086969348172931073,https://twitter.com/jajasirin/status/1086969348172931073
Nitipatana,2019-01-20 19:38,0,0,,"ปัจจุบันนี้รัฐบาลไทยทำอะไรอยู่??? พระท่านกล่าวว่า เราไม่มีเวทีหรือช่องทางสื่อสารสู่สังคมเมื่อถูก อิสลาม ฯทำร้าย, แต่ทางฝ่าย อิสลาม ฯเมื่อมีเหตุการณ์เสียหายเชิงเสียเปรียบเกิดขึ้นเขามีเวทีหรือช่องทางสื่อสาร เป็นเหตุการณ์ที่แปลก สร้างความอึดอัดใจแก่พระท่าน... https://www. facebook.com/tanatipnualmai /posts/2533110353383592 …",,,,1086966153178574848,https://twitter.com/Nitipatana/status/1086966153178574848
Jimmy_gbiz,2019-01-20 19:23,0,1,,กินอาหาร อิสลาม บ้าง#ร้านมุนา โรตี-ชา :) pic.twitter.com/BhFmPuEIU5,,,#,1086962446697295873,https://twitter.com/Jimmy_gbiz/status/1086962446697295873
NUFFIINZ,2019-01-20 18:54,1,0,,เป็นประเทศที่ย้อนแย้ง​ ถ้าเป็นเอทิสแต่เป็นตุ๊ด​ ด่าพระได้ด่าศาสนา อิสลาม ได้​ ไม่แปลว่าเหยียด​ แต่ถ้าคนด่าตุ๊ด​ อีสัสมึงบอกว่าเขาเหยียดซะงั้น​ กูงง,,,,1086955201183936513,https://twitter.com/NUFFIINZ/status/1086955201183936513
wontehak98,2019-01-20 18:50,1,0,,นับถือศาสนาอื่นบางคนฆ่าคน = ด่าที่ตัวบุคคล นับถือ อิสลาม บางคนฆ่าคน = ด่าศาสนา งงงงงงง??,,,,1086954072752570370,https://twitter.com/wontehak98/status/1086954072752570370
