username,date,retweets,favorites,label,text,geo,mentions,hashtags,id,permalink
Knsamorin,2019-01-17 14:39,250,65,,เซเลปทวิตคือบุลลี่กิ้นบดเอย อ๊บไสไม้ เอย ทรูไอดีจ้างโปรโมทเข้าหน่อยล่ะแหมมมมมมมมมมมมมม,,,,1085803697886523392,https://twitter.com/Knsamorin/status/1085803697886523392
withfired,2019-01-01 17:01,541,123,,แงงงงง น่ารักกกก อ๊บไสไม้ อ๊บๆๆๆ อ๊บป้ากังนัมสไตล์ pic.twitter.com/pMKERr7Wrk,,,,1080041235237154816,https://twitter.com/withfired/status/1080041235237154816
compatriot_8,2018-12-28 17:56,136,91,,ที่สุดแห่งดราม่าของ BNK ที่เคยเจอมา ดราม่าที่ไร้สาระที่สุด : อ๊บไสไม้ คือมึงจะดราม่าแม้กระทั่งกับเรื่องแบบนี้หรอวะ ดราม่าที่ฮาที่สุด : ใครแฟนแก้ว เมื่อปั่นเมมมีแฟนไม่ได้ก็ปั่นให้เป็นแฟนกับคนในวงซะเลย แล้วก็เข้าทางเหล่าชิปเปอร์ทั้งหลาย,,,,1078605595685543936,https://twitter.com/compatriot_8/status/1078605595685543936
BrightTV20,2018-12-26 14:07,2260,691,,พอจะจำกันได้มั้ยเอ่ยว่ามีเรื่องอะไรบ้าง..? #ถ้ำหลวง #บุพเพสันนิวาส #เป๊กผลิตโชค #เลือดข้นคนจาง #อ๊บไส ไม้ #ประเทศกูมี #ข่าวบันเทิง #ไบรท์ทีวีช่อง20 https://www. brighttv.co.th/entertain/3197 66 …,,,# # # # # # # #,1077823203903299585,https://twitter.com/BrightTV20/status/1077823203903299585
secondpamola,2018-12-16 18:25,64,4,,ดราม่าอรแรงสุดในรุ่น1ละมั้ง ในแง่ที่ว่าทำตัวเอง ส่วนไข่มุก ไม่มีอันไหนเลยที่มันเริ่มก่อน อย่าง อ๊บไส ไม้ มันก็ได้ผิดที่จะไม่รู้จัก ไม่ได้เป็นอาการไร้มารยาทอะ คนด่ามันเพราะมันไม่รู้จักกบไส้ ไม้ ส่วนวี อันนี้มันทำตัวเองจริงๆ ต้องยอมรับว่าเด็กมันผิด https:// twitter.com/ambiguous015/s tatus/1074263291319410689 …,,,,1074264142159081472,https://twitter.com/secondpamola/status/1074264142159081472
eyehippyy,2018-12-14 00:21,231,14,,อ๊บไสไม้ จ้า pic.twitter.com/yQlMIJdkrQ,,,,1073266584829874176,https://twitter.com/eyehippyy/status/1073266584829874176
gynepjr,2018-11-05 00:00,125,11,4.0,ไม่ได้ชอบเดอะทอยนะ แต่ อ๊บไสไม้ กับลูกเจี๊ยบในถ้วย เลเวลความปัญญาอ่อนมันก็ต่างกันอยู่,,,,1059128249819705345,https://twitter.com/gynepjr/status/1059128249819705345
DawnUntill,2018-08-12 21:36,33,37,,จิ้มแก้มมมม #BNK48 #KaimookBNK48 #NoeyBNK48 #แกอ่ะคิดมาก #ไม่หวานแต่รักแม่มาก #กิ้นบด #อ๊บไสไม้ pic.twitter.com/unsQEJqB5u,,,#BNK48 #KaimookBNK48 #NoeyBNK48 # # # #,1028651401558163457,https://twitter.com/DawnUntill/status/1028651401558163457
Treeshrewy,2018-07-27 22:27,2572,103,,ดู อ๊บไสไม้ กับกิ้นบดแล้วก็เข้าใจไอ้ที่แม่คอยด่าว่า พูดดีๆ พูดชัดๆ ถามละให้ตอบ อย่าอมนิ้ว ไม่รู้บอกไม่รู้ ไม่ต้องเอานิ้วโรลผม ห้ามพฤติกรรมแนวๆนี้ทุกอย่าง ห้ามจนกูดูเถื่อนไปเลย,,,,1022866032975798272,https://twitter.com/Treeshrewy/status/1022866032975798272
bankmodify,2018-07-25 13:16,101,87,,คุณไข่ และ อ๊บไสไม้ ของเขา #KaimookBNK48 #VictoryBNK48 #BNK48 pic.twitter.com/yZmTlsX4ju,,,#KaimookBNK48 #VictoryBNK48 #BNK48,1022002570498322433,https://twitter.com/bankmodify/status/1022002570498322433
