username,date,retweets,favorites,label,text,geo,mentions,hashtags,id,permalink
justmota,2019-02-25 19:13,0,0,,โลกสวยมันกุนี่ สิทธิเสรีภาพ ความเท่าเทียม ความยุติธรรมในสังคม ความเป็นมนุษย์ เชื่อไปได้ไงวะ โง่ ชิบหาย หาทางออกจากวงการตรงไหนได้บ้าง,,,,1100005800372654080,https://twitter.com/justmota/status/1100005800372654080
vivivivivi94,2019-02-25 19:13,0,0,,ดูแล้วโมโหอะ อิพวกขยะสังคม ทำร้ายลุงยามอะ ทำร้ายคนอื่น เนี่ยหรอที่มึงบอกไม่ได้บุก คุยดีๆ ควาย คิดว่าไม่มีคนรู้หรอ โง่ #วัดสิงห์ https:// twitter.com/Thairath_News/ status/1100000354760966144 …,,,#,1100005742617063425,https://twitter.com/vivivivivi94/status/1100005742617063425
Mananch07669929,2019-02-25 19:12,0,0,,กุ โง่ เองไม่โทษใคร,,,,1100005683401904128,https://twitter.com/Mananch07669929/status/1100005683401904128
aoomsinzps,2019-02-25 19:12,0,0,,บางทีมันเสียดายเวลาช่วงที่คุณดีกับเราชิบหาย แต่เรากับทิ้งมันไป โง่ ๆ,,,,1100005631971319808,https://twitter.com/aoomsinzps/status/1100005631971319808
b_baek6pack,2019-02-25 19:12,0,0,,โง่ แบบ โง่ มากกกกกกกกกกกกกก,,,,1100005580062679040,https://twitter.com/b_baek6pack/status/1100005580062679040
INGINX1,2019-02-25 19:12,0,0,,ไม่รู้หวะ 555 โง่ ไปหมดละตอนนี้,,,,1100005525922603009,https://twitter.com/INGINX1/status/1100005525922603009
parevvine,2019-02-25 19:12,0,0,,โง่ และดื้อเหมือนหมาบ้าอะ ชั้นชอบ 5555555 ตามปวศโจนตายตอน 19 ด้วย so basically another stupid spoiled brat ขอบคุนค่าา,,,,1100005510772797440,https://twitter.com/parevvine/status/1100005510772797440
ch99believe,2019-02-25 19:12,0,0,,อยากไปต่างประเทศ อยากไปนั่ง โง่ ๆ ให้ใจและสมองได้shutdowns,,,,1100005497078374401,https://twitter.com/ch99believe/status/1100005497078374401
ambiguous015,2019-02-25 19:12,0,0,,เบื่อว่ะ แม่งชอบทวิต โง่ ๆ ให้วงโดนเหยียบเล่น อีเหี้ย วันนี้กูขอเป็นโอตะคามิเฉอป้าง1วัน ดิจิดีไม่ดีไม่รู้ รู้แต่เบอร์1ของไทย ยอดบั้มจุก ๆ,,,,1100005494012309506,https://twitter.com/ambiguous015/status/1100005494012309506
zupremerC,2019-02-25 19:11,0,0,,ใครบอกโกง โกงเหี้ยไร ดูในเกมก็เห็นๆอบู่ว่าเกมเป็นไง อย่า โง่ จะด่าไปด่าการีน่านู่น อย่ามาว่าเดบิ้วกับเอเอชคิว,,,,1100005468666097665,https://twitter.com/zupremerC/status/1100005468666097665
